id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
155816#14775282;0xd08f3ad184154db5e614c24314dd505f6795dfe8;0x5777d92f208679db4b9778590fa3cab3ac9e2168;74684.7849;73249.0454;73249.0454;155816;0;73249.04537102960174674;0;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;7.325646711423224e+20;73249.0454;0.0;73249.0454;1652554355;1.0;1.0;73249.0454;73249.0454;73249.0454;716.4308;719.3087;1435.7395;0.0;0.0;15265801.0;0.0;0.0;1435.7395;0.0196;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0196;1435.7395;1.0;1.0;1.0002;0.9998
155929#13650473;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907.3687;2012285.4392;2012296.0739;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.7785612846671434e+21;21060.3474;423543.1988;444603.5462;1637392077;1.0;1.0;444589.8992;444589.8992;444603.5462;561.3449;619.1208;1194.1128;13.6471;13.6471;79738.5078;0.0;0.0;14621.9294;0.0073;10.581;0.0;0.0122;0.2209;1.0;-0.0;-0.0;0.0027;0.0027;1180.4657;0.9997;1.0003;1.0002;0.9998
155929#13713384;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907.3687;2012285.4392;2012296.0739;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.257732073635322e+21;217881.0199;346487.2934;564368.3132;1638255342;1.0;1.0;564369.0127;564369.0127;564368.3132;3621.8427;3627.063;7248.2063;-0.6994;-0.6994;943000.0;-0.0;-0.0;14621.9294;0.0073;10.581;0.0;-0.0;0.2805;1.0;-0.0;-0.0;0.0027;0.0128;7248.9058;0.9997;1.0003;1.0002;0.9998
155929#14502526;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907.3687;2012285.4392;2012296.0739;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.006872954342508e+21;277264.825;224398.5759;501663.401;1648845009;1.0;1.0;501662.6146;501662.6146;501663.401;2868.58;2834.7378;5704.1043;0.7864;0.7864;11499852.2887;0.0;0.0;14621.9294;0.0073;10.581;0.0;0.0;0.2493;1.0;-0.0;-0.0;0.0027;0.0114;5703.3178;0.9997;1.0003;1.0002;0.9998
155929#15074219;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907.3687;2012285.4392;2012296.0739;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;8.027491817370034e+20;71150.8641;129513.5355;200664.3996;1656913853;1.0;1.0;200665.813;200665.813;200664.3996;184.2851;205.4888;388.3604;-1.4134;-1.4134;19520445.0;-0.0;-0.0;14621.9294;0.0073;10.581;0.0;-0.0;0.0997;1.0;-0.0;-0.0;0.0027;0.0019;389.7738;0.9997;1.0003;1.0002;0.9998
155929#15353692;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907.3687;2012285.4392;2012296.0739;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.973608449598167e+20;38743.5693;60585.2505;99328.8197;1660671311;1.0;1.0;99329.5774;99329.5774;99328.8197;19.6075;17.9823;36.8321;-0.7577;-0.7577;23277903.0;-0.0;-0.0;14621.9294;0.0073;10.581;0.0;-0.0;0.0494;1.0;-0.0;-0.0;0.0027;0.0004;37.5898;0.9997;1.0003;1.0002;0.9998
155929#15934903;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907.3687;2012285.4392;2012296.0739;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;4.0338146382284417e+20;41492.8576;59340.9394;100833.7969;1668026363;1.0;1.0;100834.4965;100834.4965;100833.7969;22.6961;22.2317;44.2283;-0.6995;-0.6995;30632747.3581;-0.0;-0.0;14621.9294;0.0073;10.581;0.0;-0.0;0.0501;1.0;-0.0;-0.0;0.0027;0.0004;44.9278;0.9997;1.0003;1.0002;0.9998
155929#15964316;0xce9cde38b04b7030510190f6a5048808a2e7c7df;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2026907.3687;2012285.4392;2012296.0739;155929;0;707761.219216451670798734;1304534.854709;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;4.0338146382284417e+20;40167.736;60666.0612;100833.7972;1668381167;1.0;1.0;100834.0796;100834.0796;100833.7972;3.0844;3.2295;6.0315;-0.2824;-0.2824;30741283.6524;-0.0;-0.0;14621.9294;0.0073;10.581;0.0;-0.0;0.0501;1.0;-0.0;-0.0;0.0027;0.0001;6.3139;0.9997;1.0003;1.0002;0.9998
156278#15075804;0x07499c08287a6cd6514cace69100916c67631dc7;0x5777d92f208679db4b9778590fa3cab3ac9e2168;2159466.1923;2123395.7083;2123347.0196;156278;0;825775.810072928544596934;1297571.209519;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.123503024845798e+22;825775.8101;1297571.2095;2123347.0196;1656934455;1.0;1.0;2123395.7083;2123395.7083;2123347.0196;18065.9351;18053.2376;36070.484;-48.6887;-48.6887;19229882.5093;-0.0;-0.0;36070.484;0.017;-48.6887;-0.0;-0.0;1.0;1.0;-0.0;-0.0;-0.0;0.017;36119.1727;0.9999;1.0001;1.0001;0.9999
159842#14187521;0x16138817910586ded9176737b23b011376b55169;0x5777d92f208679db4b9778590fa3cab3ac9e2168;67947.2671;67407.7773;67407.3033;159842;0;41585.582904888578368728;25821.720368;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.3258531487925956e+20;24496.8843;15273.4258;39770.3102;1644618632;1.0;1.0;39770.5886;39770.5886;39770.3102;181.21;179.5125;360.4441;-0.2784;-0.2784;6539474.0;-0.0;-0.0;539.4898;0.008;-0.4741;-0.0;-0.0;0.59;1.0;-0.0;-0.0;-0.0;0.0091;360.7225;0.9998;1.0002;1.0004;0.9996
159842#18847209;0x16138817910586ded9176737b23b011376b55169;0x5777d92f208679db4b9778590fa3cab3ac9e2168;67947.2671;67407.7773;67407.3033;159842;0;41585.582904888578368728;25821.720368;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;9.213555779745156e+19;17088.6986;10548.2945;27636.9931;1703318711;1.0;1.0;27637.1887;27637.1887;27636.9931;89.4162;89.8251;179.0457;-0.1956;-0.1956;65239553.0;-0.0;-0.0;539.4898;0.008;-0.4741;-0.0;-0.0;0.41;1.0;-0.0;-0.0;-0.0;0.0065;179.2413;0.9998;1.0002;1.0004;0.9996
160680#16335242;0x443930c2f4a6bea90790f077cae99c35aad0aa48;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1010283.151;1001207.2801;1001207.8881;160680;0;491425.750510873006327848;509782.522317;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.001306347089584e+21;97458.6238;102782.6356;200241.2594;1672857215;1.0;1.0;200241.3624;200241.3624;200241.2594;4310.7535;4315.9962;8626.6467;-0.103;-0.103;34600620.0;-0.0;-0.0;9075.8708;0.0091;0.608;0.0;-0.0;0.2;1.0;-0.0;-0.0;0.0;0.0431;8626.7497;0.9998;1.0002;1.0002;0.9998
160680#16366594;0x443930c2f4a6bea90790f077cae99c35aad0aa48;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1010283.151;1001207.2801;1001207.8881;160680;0;491425.750510873006327848;509782.522317;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.5219856475761677e+21;146629.6806;157737.0472;304366.7278;1673235395;1.0;1.0;304366.8709;304366.8709;304366.7278;3.1083;3.5055;6.4706;-0.1431;-0.1431;34978800.0;-0.0;-0.0;9075.8708;0.0091;0.608;0.0;-0.0;0.304;1.0;-0.0;-0.0;0.0;0.0;6.6138;0.9998;1.0002;1.0002;0.9998
160680#16515330;0x443930c2f4a6bea90790f077cae99c35aad0aa48;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1010283.151;1001207.2801;1001207.8881;160680;0;491425.750510873006327848;509782.522317;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.2349157667039517e+20;19084.688;25609.2142;44693.9022;1675029731;1.0;1.0;44693.8721;44693.8721;44693.9022;30.4821;33.2007;63.7129;0.0301;0.0301;36773136.0;0.0;0.0;9075.8708;0.0091;0.608;0.0;0.0;0.0446;1.0;-0.0;-0.0;0.0;0.0014;63.6828;0.9998;1.0002;1.0002;0.9998
160680#16722136;0x443930c2f4a6bea90790f077cae99c35aad0aa48;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1010283.151;1001207.2801;1001207.8881;160680;0;491425.750510873006327848;509782.522317;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.4857229805229507e+20;32045.6975;17663.9802;49709.6777;1677532427;1.0;1.0;49709.5177;49709.5177;49709.6777;41.6286;31.5664;73.3549;0.1599;0.1599;39275832.0;0.0;0.0;9075.8708;0.0091;0.608;0.0;0.0;0.0496;1.0;-0.0;-0.0;0.0;0.0015;73.195;0.9998;1.0002;1.0002;0.9998
160680#16843186;0x443930c2f4a6bea90790f077cae99c35aad0aa48;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1010283.151;1001207.2801;1001207.8881;160680;0;491425.750510873006327848;509782.522317;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;5.027939665148696e+20;28766.6706;71783.0448;100549.3307;1679003471;1.0;1.0;100548.7891;100548.7891;100549.7153;104.4744;118.9216;223.9362;0.5416;0.9263;40746799.0711;0.0;0.0;9075.8708;0.0091;0.608;0.0;0.0;0.1004;1.0;-0.0;-0.0;0.0;0.0022;223.3946;0.9998;1.0002;1.0002;0.9998
160680#16858278;0x443930c2f4a6bea90790f077cae99c35aad0aa48;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1010283.151;1001207.2801;1001207.8881;160680;0;491425.750510873006327848;509782.522317;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;4.977660268497208e+20;40691.3711;58852.0696;99543.4407;1679186567;1.0;1.0;99543.4437;99543.4437;99543.4407;7.5668;3.866;11.4298;-0.003;-0.003;40906663.4438;-0.0;-0.0;9075.8708;0.0091;0.608;0.0;-0.0;0.0994;1.0;-0.0;-0.0;0.0;0.0001;11.4327;0.9998;1.0002;1.0002;0.9998
160680#17060984;0x443930c2f4a6bea90790f077cae99c35aad0aa48;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1010283.151;1001207.2801;1001207.8881;160680;0;491425.750510873006327848;509782.522317;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.0106158726948878e+21;126749.019;75354.5307;202103.5497;1681666907;1.0;1.0;202103.4241;202103.4241;202103.5497;37.3041;32.8901;70.3198;0.1256;0.1256;43260425.4427;0.0;0.0;9075.8708;0.0091;0.608;0.0;0.0;0.2019;1.0;-0.0;-0.0;0.0;0.0003;70.1942;0.9998;1.0002;1.0002;0.9998
161372#13992173;0x119454fcd0c84b3e44cec59a718848c70987935f;0x5777d92f208679db4b9778590fa3cab3ac9e2168;13556183.9034;13482390.4952;13485409.0312;161372;0;6827507.039382420346796135;6657901.991846;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.3716781937317877e+22;2543630.0539;4199074.5734;6742704.6274;1642010030;1.0;1.0;6742705.3147;6742705.3147;6742704.6274;25757.0592;25873.8647;51627.9419;-0.6873;-0.6873;3620752.475;-0.0;-0.0;73793.4082;0.0055;16.9877;0.0;-0.0;0.5;1.0;-0.0;-0.0;0.0;0.0077;51628.6292;0.9998;1.0002;1.0002;0.9998
161372#14755636;0x119454fcd0c84b3e44cec59a718848c70987935f;0x5777d92f208679db4b9778590fa3cab3ac9e2168;13556183.9034;13482390.4952;13485409.0312;161372;0;6827507.039382420346796135;6657901.991846;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.3716781937317877e+22;4283876.9855;2458827.4184;6742704.4039;1652282929;1.0;1.0;6742686.7289;6742686.7289;6742704.4039;9691.9597;9454.2833;19163.918;17.675;17.675;13761633.7978;0.0;0.0;73793.4082;0.0055;16.9877;0.0;0.0;0.5;1.0;-0.0;-0.0;0.0;0.0028;19146.243;0.9998;1.0002;1.0002;0.9998
165422#14956621;0x50afc0702822669dc476b1d5959b85cb93c99b4f;0x5777d92f208679db4b9778590fa3cab3ac9e2168;3605718.7664;3573982.4351;3572258.4048;165422;0;995406.235556779102578832;2578571.047269;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.574225703572327e+22;995406.2356;2578571.0473;3572258.4048;1655132937;1.0;1.0;3573982.3773;3573982.3773;3573977.2828;16806.0379;16657.9934;31736.3891;-1723.9725;-5.0945;15911891.4223;-0.0005;-0.0005;31736.3313;0.0089;-1723.9725;-0.0005;-0.001;1.0;1.0;-0.0;-0.0;-0.001;0.0089;33460.3616;0.9999;1.0001;1.0001;0.9999
166196#13869809;0x36e83cf0dc2387958ff95c45ae2947ef561847b2;0x5777d92f208679db4b9778590fa3cab3ac9e2168;30935.3708;30894.2322;30889.4113;166196;0;13267.557293603342809809;17626.260616;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.089611379093773e+20;13267.5573;17626.2606;30889.4113;1640374564;1.0;1.0;30894.2322;30894.2322;30893.8179;23.6784;22.289;41.1387;-4.8209;-0.4142;1051649.2089;-0.0002;-0.0002;41.1387;0.0013;-4.8209;-0.0002;-0.0047;1.0;1.0;-0.0;-0.0;-0.0047;0.0013;45.9595;0.9999;1.0001;1.0001;0.9999
166199#13791185;0x345a8527a0ce2b0875c059bd7be18aa20a688602;0x5777d92f208679db4b9778590fa3cab3ac9e2168;671008.9899;671008.8337;671008.5366;166199;0;97540.413617578653072499;573468.122999;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;6.710497935157696e+21;97540.4136;573468.123;671008.5366;1639324051;1.0;1.0;671008.8337;671008.8337;671008.5366;0.4266;0.0267;0.1562;-0.2971;-0.2971;976.2708;-0.0;-0.0;0.1562;0.0;-0.2971;-0.0;-0.0142;1.0;1.0;-0.0;-0.0;-0.0142;0.0;0.4533;0.9999;1.0001;1.0001;0.9999
166971#14968069;0x358854539c78764c3bb2a389fa605ea45d3321dd;0x5777d92f208679db4b9778590fa3cab3ac9e2168;121717.0288;120633.5769;120652.1708;166971;0;32997.507353986063340659;87636.396529;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.2064226042629018e+21;32997.5074;87636.3965;120652.1708;1655304804;1.0;1.0;120633.5769;120633.5769;120633.9039;532.5613;532.0019;1083.4519;18.594;0.327;15731514.3703;0.0002;0.0002;1083.4519;0.009;18.594;0.0002;0.0003;1.0;1.0;-0.0;-0.0;0.0003;0.009;1064.8579;0.9999;1.0001;1.0001;0.9999
184381#14134407;0xd1f539ef2f9b98f11b136eb6160fab9428289a28;0x5777d92f208679db4b9778590fa3cab3ac9e2168;72719.5072;72596.6074;72596.4077;184381;0;35219.808403730903019725;37376.59933;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.3882552877075386e+19;4578.7236;5584.7806;10163.5042;1643909893;1.0;1.0;10163.525;10163.525;10163.5042;33.6585;33.0985;66.7362;-0.0208;-0.0208;1282863.0;-0.0;-0.0;122.8997;0.0017;-0.1997;-0.0;-0.0001;0.14;1.0;-0.0;-0.0;-0.0;0.0066;66.7571;0.9997;1.0003;1.0003;0.9997
184381#14931304;0xd1f539ef2f9b98f11b136eb6160fab9428289a28;0x5777d92f208679db4b9778590fa3cab3ac9e2168;72719.5072;72596.6074;72596.4077;184381;0;35219.808403730903019725;37376.59933;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.081356819591774e+20;30641.0848;31791.8187;62432.9035;1654758906;1.0;1.0;62433.0824;62433.0824;62432.9035;28.4182;27.9242;56.1635;-0.1789;-0.1789;12131876.0;-0.0;-0.0;122.8997;0.0017;-0.1997;-0.0;-0.0;0.86;1.0;-0.0;-0.0;-0.0;0.0009;56.3424;0.9997;1.0003;1.0003;0.9997
189377#15743010;0x78fa0894d6a2426162bea41e68de19770223f809;0x5777d92f208679db4b9778590fa3cab3ac9e2168;299.2111;299.1998;299.1998;189377;0;149.508214667261621381;149.69155;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.9996334698401864e+16;149.5082;149.6916;299.1998;1665710207;1.0;1.0;299.1998;299.1998;299.1998;0.0056;0.0057;0.0114;-0.0;-0.0;21752083.0;-0.0;-0.0;0.0114;0.0;-0.0;-0.0;-0.0;1.0;1.0;0.0;0.0;-0.0;0.0;0.0114;0.9901;1.01;1.0101;0.99
194248#14833778;0xa2a436c77d0bc69e93e8f4f7c740d09f370aafc9;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1963.6097;1963.1641;1963.1642;194248;0;957.393140970568985954;1005.771105;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.9637528726430876e+18;957.3931;1005.7711;1963.1642;1653367918;1.0;1.0;1963.1641;1963.1641;1963.1642;0.2236;0.2219;0.4456;0.0001;0.0001;8370044.0;0.0;0.0;0.4456;0.0002;0.0001;0.0;0.0;1.0;1.0;-0.0;-0.0;0.0;0.0002;0.4455;0.999;1.001;1.001;0.999
195519#15049366;0xfef70e41e35bc26cc7251e9dc456853343a929f7;0x5777d92f208679db4b9778590fa3cab3ac9e2168;40.5082;40.4969;40.4969;195519;0;19.856547219331762931;20.640371;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;4.050906374054279e+16;19.8565;20.6404;40.4969;1656576226;1.0;1.0;40.4969;40.4969;40.4969;0.0055;0.0058;0.0113;0.0;0.0;11261029.0;0.0;0.0;0.0113;0.0003;0.0;0.0;0.0;1.0;1.0;-0.0;-0.0;0.0;0.0003;0.0113;0.999;1.001;1.001;0.999
197989#17058016;0x970caecc4372ac69b699d13f2bfe210facde3690;0x5777d92f208679db4b9778590fa3cab3ac9e2168;10168.2669;10142.301;10142.3143;197989;0;4421.672233064754991159;5720.642033;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.535970559820432e+19;4421.6722;5720.642;10142.3143;1681630463;1.0;1.0;10142.301;10142.301;10142.3143;12.9366;13.0161;25.9659;0.0133;0.0133;35649915.0;0.0;0.0;25.9659;0.0026;0.0133;0.0;0.0;1.0;1.0;-0.0;-0.0;0.0;0.0026;25.9527;0.9995;1.0005;1.0003;0.9997
202402#14961065;0xc7557afdb4c2ef7e2a5e68ed60b1f8ac41c87459;0x5777d92f208679db4b9778590fa3cab3ac9e2168;9657.5233;9652.4946;9655.5396;202402;0;4591.346702453573903309;5061.145768;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;9.655382073908464e+18;4591.3467;5061.1458;9655.5396;1655199561;1.0;1.0;9652.4946;9652.4946;9652.4925;0.9861;0.9969;5.0286;3.045;-0.0021;8186600.0;0.0003;0.0003;5.0286;0.0005;3.045;0.0003;0.0012;1.0;1.0;-0.0;-0.0;0.0012;0.0005;1.9837;0.999;1.001;1.001;0.999
203772#15633021;0xde0205fbde988adef8835298263d5dc8e2f06d42;0x5777d92f208679db4b9778590fa3cab3ac9e2168;165.9481;165.7102;165.7096;203772;0;79.206910760301959885;86.502707;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;8.286308167479457e+17;79.2069;86.5027;165.7096;1664382383;1.0;1.0;165.7102;165.7102;165.7096;0.1181;0.1204;0.2379;-0.0006;-0.0006;17106016.0;-0.0;-0.0;0.2379;0.0014;-0.0006;-0.0;-0.0;1.0;1.0;-0.0;-0.0;-0.0;0.0014;0.2385;0.9998;1.0002;1.0002;0.9998
209285#15109492;0x5c44e637af2e4b6ab49bdab458ebcb26dca1b6bf;0x5777d92f208679db4b9778590fa3cab3ac9e2168;989.258;988.8058;988.806;209285;0;473.861066740085505927;514.944895;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.9779574790781693e+18;473.8611;514.9449;988.806;1657384283;1.0;1.0;988.8058;988.8058;988.806;0.2201;0.232;0.4522;0.0002;0.0002;9546393.0;0.0;0.0;0.4522;0.0005;0.0002;0.0;0.0;1.0;1.0;-0.0;-0.0;0.0;0.0005;0.4521;0.9995;1.0005;1.0005;0.9995
212143#16332146;0x19c8d2773df01ee536dd4ce1159340429b824238;0x5777d92f208679db4b9778590fa3cab3ac9e2168;19041.2728;19034.475;19034.4649;212143;0;8520.831177556451689474;10513.633751;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.904022049442783e+19;8520.8312;10513.6338;19034.4649;1672819883;1.0;1.0;19034.475;19034.475;19034.4649;3.3289;3.479;6.7978;-0.01;-0.01;24551397.0;-0.0;-0.0;6.7978;0.0004;-0.01;-0.0;-0.0;1.0;1.0;-0.0;-0.0;-0.0;0.0004;6.8078;0.9989;1.0011;1.0009;0.9991
213667#14664458;0xaf5d6846a4b7c2cdfabebf001382bc9cba4dd266;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1237031.909;1234791.5477;1234787.2477;213667;0;264041.785056613240641372;970745.462637;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.1938149435716702e+21;81097.0767;276991.3513;358088.428;1651034861;1.0;1.0;358089.5488;358089.5488;358088.428;123.1888;129.7949;251.8629;-1.1208;-1.1208;2582379.0;-0.0;-0.0;2240.3613;0.0018;-4.3;-0.0;-0.0;0.29;1.0;-0.0;-0.0;-0.0;0.0007;252.9837;0.9995;1.0005;1.0001;0.9999
213667#17540536;0xaf5d6846a4b7c2cdfabebf001382bc9cba4dd266;0x5777d92f208679db4b9778590fa3cab3ac9e2168;1237031.909;1234791.5477;1234787.2477;213667;0;264041.785056613240641372;970745.462637;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.9227883101237443e+21;182944.7084;693754.1113;876698.8197;1687502195;1.0;1.0;876701.9989;876701.9989;876698.8197;988.3883;1003.2894;1988.4984;-3.1792;-3.1792;39049713.0;-0.0;-0.0;2240.3613;0.0018;-4.3;-0.0;-0.0;0.71;1.0;-0.0;-0.0;-0.0;0.0023;1991.6776;0.9995;1.0005;1.0001;0.9999
214064#14724275;0xfb72767b4ace11abd11bb53f6d4a8560ebf1c836;0x5777d92f208679db4b9778590fa3cab3ac9e2168;37274.5904;37253.4093;37271.8273;214064;0;17529.476842693347505196;19723.899608;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.726462773105033e+19;17529.4768;19723.8996;37271.8273;1651850134;1.0;1.0;37253.4093;37253.4093;37253.3765;1.357;1.4047;21.1811;18.418;-0.0328;3355507.0;0.0005;0.0005;21.1811;0.0006;18.418;0.0005;0.0047;1.0;1.0;-0.0;-0.0;0.0047;0.0006;2.7631;0.9989;1.0011;1.0009;0.9991
