id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
10975#12442704;0xc0b65971f8c4d63c17c0b4504f9823df9582f7ff;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;19136.5129;19201.8341;19136.5129;10975;0;0;4.999999999999998218;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1194809303288645.0;0.0;5.0;19136.5129;1621130248;1.0;3827.8815;19357.7955;19139.4075;19139.4075;0.0;0.0;-2.8946;-2.8946;0.0;607771.0;-0.0001;-0.0002;-65.3211;-0.0034;-2.8946;-0.0002;-0.0078;1.0;0.9887;-0.0001;-0.0001;-0.0078;-0.0002;0.0;0.0001;12989.9214;0.0002;5954.8903
119141#17825352;0x5ac9007045e6dac34b637922d28b71d9304d2796;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;599.8644;643.0886;449.077;119141;0;63.079459;0.207093473263630268;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;19508109814056.0;63.0795;0.2071;449.077;1690955639;1.0;1863.8805;643.0886;510.3318;449.0769;86.7165;0.0344;89.5326;-61.2548;-61.2548;60735976.0;-0.0953;-0.1364;-43.2242;-0.0672;-61.2548;-0.0953;-0.0734;1.0;0.6983;-0.0545;-0.0545;-0.0734;0.1994;150.7874;0.0002;6323.1011;0.0006;1590.8664
145558#15160281;0xc6a0bfbd8d069d9178ac4ebef2da5864b622c227;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;4968.6051;9945.7843;3387.9354;145558;0;0;2.498365828209399651;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1992493984584292.0;0.0;2.4984;3387.9354;1658062462;1.0;1354.8161;9921.3865;6655.9571;3384.8262;1173.319;0.3004;-1687.3521;-3268.0218;-3271.1309;22977067.0;-0.3294;-0.9646;-4977.1792;-0.5004;-3268.0218;-0.3286;-0.9898;1.0;0.3412;-0.4809;-0.4809;-0.9898;-0.498;1580.6697;0.0002;4411.5574;0.0003;3759.3113
150411#14788449;0x99f689747338a193dc1dd367af9ff8e059d4e189;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;34473.646;47161.6434;28212.7751;150411;0;0;13.93618514629363813;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1442531316990575.0;0.0;13.9362;28212.7751;1652734401;1.0;2026.485;47280.457;38863.1682;28241.4702;3026.9496;1.0567;-4389.5222;-10650.3931;-10621.698;16457480.0;-0.2253;-0.3775;-12687.9974;-0.269;-10650.3931;-0.2258;-0.597;1.0;0.5973;-0.1302;-0.1302;-0.597;-0.1556;6260.8709;0.0002;6323.1011;0.0005;2022.3633
1571#18653447;0xd2b13e3144034b95ed0560a6c4b27cada1ba23b4;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1137.1795;1304.4879;783.7347;1571;0;0;0.37768660197832077;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;94731403981610.0;0.0;0.3777;783.7347;1700972699;1.0;2078.3868;1291.949;914.7981;784.9788;224.9828;0.0619;222.3814;-131.0633;-129.8192;80712670.0;-0.1014;-0.1672;-167.3084;-0.1283;-131.0633;-0.1005;-0.069;1.0;0.6076;-0.1938;-0.1938;-0.069;0.2837;353.4447;0.0002;5074.4633;0.0003;3077.8945
157219#15118891;0x39dec866c627f1b08bf8ccfd64b0b377d29aa946;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;33.4618;83.5164;27.5927;157219;0;0;0.02398726856775065;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2208065898165.0;0.0;0.024;27.5927;1657509363;1.0;1153.0003;83.5164;53.0338;27.6573;4.1693;0.0015;-19.5721;-25.4412;-25.3765;19942838.0;-0.3046;-0.922;-50.0547;-0.5993;-25.4412;-0.3046;-0.9824;1.0;0.3312;-0.4;-0.4;-0.9824;-0.7093;5.8691;0.0001;8366.1665;0.0005;2104.8933
169562#13999438;0x632d7ac9f4fc8ebf45d49a7e6a27138f96be378f;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;5844.4864;7432.5929;5677.872;169562;0;1947.367464;1.528822231373060299;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;153662550384953.0;1947.3675;0.9554;5057.7761;1642107374;1.0;3255.4703;5668.6957;5151.8033;5057.7761;24.9836;0.0101;-34.8857;-94.0272;-94.0271;2001910.1492;-0.0166;-0.0186;-1588.1065;-0.2137;-536.5;-0.0722;-0.2561;0.8908;0.8922;-0.0056;-0.0457;-0.3303;-0.0069;59.1415;0.0001;7878.9825;0.0005;1982.3198
169562#15008852;0x632d7ac9f4fc8ebf45d49a7e6a27138f96be378f;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;5844.4864;7432.5929;5677.872;169562;0;1947.367464;1.528822231373060299;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;51220850128318.0;0.0;0.5734;620.0959;1655920782;1.0;1081.4716;1765.3357;1062.5687;620.0959;75.5479;0.0297;-335.0;-442.4728;-442.4729;14360712.8758;-0.2506;-0.7136;-1588.1065;-0.2137;-536.5;-0.0722;-0.9359;0.1092;0.3513;-0.373;-0.0457;-0.3303;-0.5402;107.4729;0.0001;7878.9825;0.0005;1982.3198
170268#15138133;0xaf0d2e9e7a446c8f819fb0d4e509265e8f301c5d;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1619.4145;5829.8343;1612.7123;170268;0;0;1.449999999999999029;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1203593685951593.0;0.0;1.45;1612.7123;1657767280;1.0;1111.9383;5829.8343;1612.3105;1612.3105;5.2674;0.0013;7.104;0.4017;0.0;17600774.0;0.0001;0.0002;-4210.4198;-0.7222;0.4017;0.0001;0.0004;1.0;0.2766;-0.5579;-0.5579;0.0004;0.0044;6.7022;0.0002;4778.9639;0.0002;4072.397
179928#14765447;0x2767beb4eff722333675e0c1a837051597745ef9;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;8802.8377;12471.7186;8420.9963;179928;0;0;4.000495467881971435;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2578787636030860.0;0.0;4.0005;8420.9963;1652418868;1.0;2102.9782;12475.7698;8744.3386;8412.9548;233.885;0.0703;58.4992;-323.3422;-331.3838;4754145.8049;-0.0259;-0.0384;-3668.8809;-0.2942;-323.3422;-0.0259;-0.2289;1.0;0.6743;-0.176;-0.176;-0.2289;0.0069;381.8414;0.0003;3684.8756;0.0003;3077.8945
183783#14931527;0x4f50778ce49f767fa90b29d47831529faaf0e2d1;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;7569.899;9318.1099;6272.6116;183783;0;0;3.467160912339845537;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;522754799128644.0;0.0;3.4672;6272.6116;1654762191;1.0;1812.0023;9320.1357;7897.2765;6282.5035;758.2223;0.298;-327.3776;-1624.665;-1614.773;12206582.5471;-0.1743;-0.259;-1748.211;-0.1876;-1624.665;-0.1744;-0.5393;1.0;0.6741;-0.1177;-0.1177;-0.5393;-0.0522;1297.2874;0.0003;3991.7621;0.0005;1982.3198
186751#14782198;0x157753217d6eee6d0b175e4f06f4ed562f93e1b8;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1646506.1019;1784571.3721;1525144.6787;186751;0;0;716.991536676350418478;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;7.819628506439898e+16;0.0;716.9915;1525144.6787;1652648435;1.0;2126.7886;1780542.0829;1530336.3229;1524889.4265;69047.1079;24.5937;116169.779;-5191.6442;-5446.8964;9472948.0;-0.0029;-0.0034;-138065.2702;-0.0774;-5191.6442;-0.0029;-0.0113;1.0;0.8564;-0.0116;-0.0116;-0.0113;0.0762;121361.4232;0.0001;8038.1405;0.0004;2421.1866
187003#15379500;0x46a0b4fa58141aba23185e79f7047a7dfd0ff100;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;63977.8049;66113.6382;52318.2528;187003;0;18360.977771;21.782367682042058776;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2314765094507350.0;18360.9778;21.7824;52318.2528;1661024382;1.0;1566.2869;65492.5969;57195.2499;52478.4149;6083.6291;3.5768;6782.555;-4876.9971;-4716.835;17778114.0;-0.0745;-0.0932;-2135.8333;-0.0323;-4876.9971;-0.0738;-0.1594;1.0;0.8013;-0.0209;-0.0209;-0.1594;0.1296;11659.5522;0.0003;3991.7621;0.001;1004.311
187410#16671633;0x1bd3b9e42ade5ca17c17149a464e45bd3c14aaf2;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;27620.9214;30127.747;22632.5972;187410;0;0;13.337100700704816435;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2009688751457936.2;0.0;13.3371;22632.5972;1676918831;1.0;1696.8976;29910.6853;25333.8399;22631.6942;2872.9368;1.2466;2287.0815;-2701.2427;-2702.1457;33564603.0;-0.0903;-0.1194;-2506.8256;-0.0832;-2701.2427;-0.0897;-0.1126;1.0;0.7566;-0.0634;-0.0634;-0.1126;0.1011;4988.3242;0.0003;3470.2956;0.0006;1793.6861
191025#15121428;0x16126f74c1315110807eecd64bae76a1be9da450;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;491440.2747;987943.3836;370913.2513;191025;0;0;324.204831448046014793;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.7897603833565773e+18;0.0;324.2048;370913.2513;1657543684;1.0;1150.2033;987934.8148;986866.2864;372901.467;63571.7572;24.1346;-495426.0117;-615953.0351;-613964.8194;12799388.5689;-0.6235;-1.6606;-496503.1089;-0.5026;-615953.0351;-0.6235;;1.0;0.3775;-0.4506;-0.4506;0.0;-1.3357;120527.0234;0.0003;3077.8945;0.0003;3016.9512
19736#15342662;0x69b7e011abd3f46cd8189ac50172fa0c33bcde37;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;427.9745;362.5559;318.8855;19736;0;112.568319;0.10662714995523092;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;9132437856176.0;112.5683;0.1066;318.8855;1660519838;1.0;1934.7287;363.206;323.8877;318.8629;58.9699;0.0259;104.0868;-5.0022;-5.0248;38834034.0;-0.0138;-0.0157;65.4186;0.1804;-5.0022;-0.0138;-0.0128;1.0;0.8779;-0.0052;-0.0052;-0.0128;0.3264;109.089;0.0001;8200.5135;0.001;1004.311
199971#15067460;0xbe0fbc36e9f55b198e835b98bd38ad413fd34b75;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;17.8813;24.7162;16.9548;199971;30671781192;10.485492;0.006083700592290728;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;321422299319.0;10.4855;0.0061;16.9548;1656823199;1.0;1068.4587;23.0844;19.1513;16.9857;0.5384;0.0004;-1.27;-2.1966;-2.1657;10348765.0;-0.0952;-0.1296;-6.8349;-0.2765;-2.1966;-0.0889;-0.345;1.0;0.7358;-0.0117;-0.0117;-0.345;-0.0749;0.9265;0.0001;7273.2467;991433.3687;0.0
201602#19372317;0x3edc303fe26b09852c50b2f02e5fbeda49d05f76;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;31166.1959;27328.6599;27589.7922;201602;0;27589.792184;0;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.061343019031304e+16;27589.7922;0.0;27589.7922;1709682083;1.0;3565.5556;27172.7483;31331.8314;27589.7922;1619.624;0.5525;-165.6355;-3742.0393;-3742.0393;62824906.0;-0.1377;-0.1356;3837.536;0.1404;-3742.0393;-0.1369;-0.0706;1.0;1.0153;-0.0012;-0.0012;-0.0706;-0.006;3576.4037;0.0004;2841.2661;0.0004;2570.8968
214207#14943968;0x88acaecc35f8db3fffb6442d54bc1965c9cb8e40;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;101645.2553;200532.8459;97006.4658;214207;0;0;61.376502317831280545;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2.257480449652799e+16;0.0;61.3765;97006.4658;1654946188;1.0;1573.3002;199846.6606;137137.2682;96563.6634;2832.5019;1.1407;-35492.0129;-40130.8024;-40573.6048;6435070.0;-0.2008;-0.4137;-98887.5906;-0.4931;-40130.8024;-0.2001;-0.9271;1.0;0.4832;-0.3213;-0.3213;-0.9271;-0.3659;4638.7895;0.0002;4072.397;0.0003;2957.2145
217001#15050063;0x9db9884da7dfa87ea9f0d3cef428436fa290bf41;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;137086.7377;406533.5936;131140.9942;217001;0;0;129.168099564247758257;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.0743004599079172e+16;0.0;129.1681;131140.9942;1656587432;1.0;1015.7574;406533.5915;221142.4415;131203.453;3860.8866;2.0535;-84055.7038;-90001.4473;-89938.9886;7604308.0;-0.2214;-0.6863;-269446.8558;-0.6628;-90001.4473;-0.2214;-0.9919;1.0;0.3227;-0.3938;-0.3938;-0.9919;-0.641;5945.7435;0.0001;10016.0297;0.0005;2063.2157
217007#15050106;0xf0ce419560b05c66d21667d4f25a5bdf65426893;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;129023.5718;401451.1191;124841.3553;217007;0;0;123.088397468103635587;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.1459204905709884e+16;0.0;123.0884;124841.3553;1656588109;1.0;1015.7574;401219.397;203700.557;125027.9506;2745.8045;1.4162;-74676.9852;-78859.2016;-78672.6064;7604307.0;-0.1965;-0.6317;-272427.5473;-0.6786;-78859.2016;-0.1964;-0.9842;1.0;0.3116;-0.4202;-0.4202;-0.9842;-0.5982;4182.2165;0.0001;10016.0297;0.0004;2326.2552
217218#14931523;0x4f50778ce49f767fa90b29d47831529faaf0e2d1;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;104685.4039;188400.7221;101485.2584;217218;0;0;56.095569874691825185;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2.3585815428430364e+16;0.0;56.0956;101485.2584;1654762097;1.0;1812.0023;188187.5949;147162.7693;101645.3016;1583.6523;0.8184;-42477.3654;-45677.5108;-45517.4676;5728551.0;-0.2427;-0.4501;-83715.3182;-0.4443;-45677.5108;-0.2424;-0.9629;1.0;0.5401;-0.2732;-0.2732;-0.9629;-0.4186;3200.1455;0.0003;3991.7621;0.0003;3016.9512
