id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
103262#13701045;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;491274910876199.0;2.434;6.2459;158390.4705;1638084153;54615.7469;4074.9426;150602.9072;162145.2967;158384.7471;0.0365;0.5186;31.6135;-3754.8263;-3760.5496;5313566.0393;-0.0249;-0.0237;17348.5779;0.0522;-9616.3961;-0.0289;-0.1328;0.4664;1.0517;-0.0029;-0.0434;-0.1491;0.0002;3786.4398;12.4893;0.0801;20.0023;0.05
103262#14597115;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;195858421047188.0;0.9886;2.2462;46586.7867;1650122644;40186.5344;3019.2179;46209.6529;47559.1825;46510.8227;0.0063;0.0867;-456.09;-972.3959;-1048.3598;3315083.0;-0.021;-0.0209;17348.5779;0.0522;-9616.3961;-0.0289;-0.1819;0.1372;1.0065;-0.0;-0.0434;-0.1491;-0.0098;516.3059;12.4893;0.0801;20.0023;0.05
103262#16023302;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;336000900065692.0;1.3789;8.2256;30752.4966;1669092983;15717.2237;1101.8363;53626.12;31678.0107;30735.6797;0.0747;1.1146;2383.9454;-925.514;-942.331;13924022.4971;-0.0173;-0.0301;17348.5779;0.0522;-9616.3961;-0.0289;-0.0669;0.0906;0.5731;-0.2258;-0.0434;-0.1491;0.0775;3309.4594;12.4893;0.0801;20.0023;0.05
103262#19569209;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;342120391404736.0;0.0;32.1037;103862.8769;1712074271;65491.59;3260.5805;81344.3187;107826.5368;104676.8435;0.018;0.3362;-1638.1695;-3963.6599;-3149.6933;6051252.2759;-0.0487;-0.0382;17348.5779;0.0522;-9616.3961;-0.0289;-0.1837;0.3058;1.2868;-0.0708;-0.0434;-0.1491;-0.0158;2325.4904;12.4893;0.0801;20.0023;0.05
103579#17451700;0x637cfd8b636c7508ff508c2923ea20c82e00f98b;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;6052.6054;7557.5608;5300.8571;103579;0;0.11851023;1.295287606773174344;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;20386086637549.0;0.1185;1.2953;5300.8571;1686423563;25695.3289;1740.3838;7557.267;5303.9922;5299.4569;0.0138;0.1982;748.6132;-3.1351;-4.5353;55569295.6775;-0.0004;-0.0006;-1504.9555;-0.1991;-3.1351;-0.0004;-0.0003;1.0;0.7012;-0.0798;-0.0798;-0.0003;0.1412;751.7483;10.2665;0.0974;24.4306;0.0409
104894#13426256;0x1b34fc39002e5a0fe57aa159a02bcdea38fc7b8a;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;9267.1681;9592.9001;7502.2496;104894;0;0.12696154;1.832090863668255453;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3383008355769.0;0.0062;0.2073;1172.2984;1634350087;61373.118;3840.6808;765.202;1186.986;1174.8086;0.0051;0.0739;582.1755;-14.6877;-12.1774;6183030.0;-0.0192;-0.0125;-325.732;-0.034;-21.7304;-0.0023;-0.0623;0.1563;1.5353;-0.1604;-0.1169;-0.0103;0.4966;596.8632;11.4831;0.0871;18.6315;0.0537
104894#17382682;0x1b34fc39002e5a0fe57aa159a02bcdea38fc7b8a;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;9267.1681;9592.9001;7502.2496;104894;0;0.12696154;1.832090863668255453;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;38904596091347.0;0.1208;1.6248;6329.9512;1685582675;27234.2137;1875.5274;8799.8229;6336.9939;6337.0209;0.0218;0.3073;1161.0126;-7.0428;0.027;57415618.0;-0.0008;-0.0011;-325.732;-0.034;-21.7304;-0.0023;-0.0006;0.8437;0.7201;-0.1089;-0.1169;-0.0103;0.1834;1168.0554;11.4831;0.0871;18.6315;0.0537
105259#14734077;0xaf8e929fcab0244b3cced000f4c37cd9a6afcc35;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;9894.8202;9900.658;8626.9232;105259;0;0.1663099;1.133578744335204438;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;53883229846503.0;0.1663;1.1336;8626.9232;1651985447;34458.6942;2538.9272;9782.0911;8653.6331;8608.8959;0.0171;0.2407;1241.1871;-26.7099;-44.7372;23774741.0;-0.0027;-0.0031;-5.8378;-0.0006;-26.7099;-0.0027;-0.0041;1.0;0.8801;-0.0237;-0.0237;-0.0041;0.1439;1267.897;12.0597;0.0829;17.268;0.0579
106905#14977778;0x9a4a667d0f6e6567a843ca4b853ae0157c220a47;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;7778.3029;16805.9265;6356.5716;106905;0;0;5.786463040680015158;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;58380564910760.0;0.0;5.7865;6356.5716;1655448254;20865.8465;1101.4016;16932.3981;6981.0574;6373.2197;0.0207;0.2958;797.2455;-624.4858;-607.8378;26168965.4742;-0.0369;-0.0982;-9027.6235;-0.5372;-624.4858;-0.0372;-0.1172;1.0;0.3764;-0.4151;-0.4151;-0.1172;0.1254;1421.7313;11.1437;0.0897;18.7436;0.0534
107136#14943228;0xaba59201c6f4a6bee722ff8109b867b0ec551d83;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;954.4836;1425.4919;860.8569;107136;0;0.00286538;0.467007164483170769;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;11629980351871.0;0.0029;0.467;860.8569;1654935396;29280.3288;1570.6862;1426.882;942.9197;817.421;0.0017;0.0262;11.5639;-82.0628;-125.4987;26516882.0;-0.0575;-0.0953;-471.0083;-0.3304;-82.0628;-0.0576;-0.1124;1.0;0.5729;-0.2508;-0.2508;-0.1124;0.0134;93.6267;14.3948;0.0695;17.9727;0.0556
