blockNumber,collectedFeesToken0,collectedFeesToken1,depositedToken0,depositedToken1,feeGrowthInside0LastX128,feeGrowthInside1LastX128,id,liquidity,owner,withdrawnToken0,withdrawnToken1,position_amountCollectedUSD,position_amountDepositedUSD,position_amountWithdrawnUSD,position_collectedFeesToken0,position_collectedFeesToken1,position_collectedToken0,position_collectedToken1,position_depositedToken0,position_depositedToken1,position_feeGrowthInside0LastX128,position_feeGrowthInside1LastX128,position_id,position_liquidity,position_owner,position_tickLower,position_tickUpper,position_withdrawnToken0,position_withdrawnToken1,pool_feeGrowthGlobal0X128,pool_feeGrowthGlobal1X128,transaction_blockNumber,burns_amount,burns_amount0,burns_amount1,burns_amountUSD,burns_id,collects_amount0,collects_amount1,collects_amountUSD,collects_id,mints_amount,mints_amount0,mints_amount1,mints_amountUSD,mints_id,mints_timestamp
13605124,0,0,114196.478614032933945267,82461.020054,0,0,153368#13605124,126929555090246767106,0xce9cde38b04b7030510190f6a5048808a2e7c7df,0,0,1003203.908678473916168704,1002245.693835247424984281,1002241.744988706784412671,479.294947767131756033,482.868742,494895.547270473916168704,508308.361408,530261.184574247424984281,471984.509261,1279343922150255325394511541906079371008,1283922527410326166259204928,153368,0,0xce9cde38b04b7030510190f6a5048808a2e7c7df,-276340,-276309,494416.252322706784412671,507825.492666,23693842705888354660499436352398395110622,29288135444708490005325417576,13605124,,,,,,,,,,126929555090246767106,114196.478614032933945267,82461.020054,196657.498668032933945267,0x8ec5ce93f18d7d0c46cf371aba63baab1656b113af7a9e7a7419da9724c9add6#1,1636771503
13643964,0,0,530261.184574247424984281,471984.509261,1277980234700148565130008104880304409634,1281337712258791355696924779,153368#13643964,646890660142909644413,0xce9cde38b04b7030510190f6a5048808a2e7c7df,0,0,1003203.908678473916168704,1002245.693835247424984281,1002241.744988706784412671,479.294947767131756033,482.868742,494895.547270473916168704,508308.361408,530261.184574247424984281,471984.509261,1279343922150255325394511541906079371008,1283922527410326166259204928,153368,0,0xce9cde38b04b7030510190f6a5048808a2e7c7df,-276340,-276309,494416.252322706784412671,507825.492666,23693842705888354660499436352398395110622,29288135444708490005325417576,13643964,,,,,,,,,,519961105052662877307,416064.705960214491039014,389523.489207,805588.195167214491039014,0x9140619559f4c4b925ce13ea79d2d19126a4f6d7f641a6ef8082efaf05d7bcc5#941,1637301809
13644667,479.294947767131756033,482.868742,530261.184574247424984281,471984.509261,1279343922150255325394511541906079371008,1283922527410326166259204928,153368#13644667,0,0xce9cde38b04b7030510190f6a5048808a2e7c7df,494416.252322706784412671,507825.492666,1003203.908678473916168704,1002245.693835247424984281,1002241.744988706784412671,479.294947767131756033,482.868742,494895.547270473916168704,508308.361408,530261.184574247424984281,471984.509261,1279343922150255325394511541906079371008,1283922527410326166259204928,153368,0,0xce9cde38b04b7030510190f6a5048808a2e7c7df,-276340,-276309,494416.252322706784412671,507825.492666,23693842705888354660499436352398395110622,29288135444708490005325417576,13644667,646890660142909644413,494416.252322706784412671,507825.492666,1002241.744988706784412671,0xe6e5d34b237e3239e9ae6cb3db95f6580aa997bdec986692e2eb28cf1b61bc8d#969,494895.547270473916168704,508308.361408,1003203.908678473916168704,0xe6e5d34b237e3239e9ae6cb3db95f6580aa997bdec986692e2eb28cf1b61bc8d#970,,,,,,
13611293,0,0,5368.664951667018637017,5932.98966,0,0,153648#13611293,6112210415445302511,0xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,0,0,11344.257147137263807849,11301.654611667018637017,11301.339744889403226984,21.386667247860580865,21.530735,3931.978962137263807849,7412.278185,5368.664951667018637017,5932.98966,1190650396011000507704026325257631405612,1198671057549788881030110938,153648,0,0xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,-276348,-276311,3910.592294889403226984,7390.74745,23693842705888354660499436352398395110622,29288135444708490005325417576,13611293,,,,,,,,,,6112210415445302511,5368.664951667018637017,5932.98966,11301.654611667018637017,0xd28cc911fc4616447f9249f64a2747e67891947f77d38c610467bf28db53a124#24,1636856262
13642581,21.386667247860580865,21.530735,5368.664951667018637017,5932.98966,1190650396011000507704026325257631405612,1198671057549788881030110938,153648#13642581,0,0xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,3910.592294889403226984,7390.74745,11344.257147137263807849,11301.654611667018637017,11301.339744889403226984,21.386667247860580865,21.530735,3931.978962137263807849,7412.278185,5368.664951667018637017,5932.98966,1190650396011000507704026325257631405612,1198671057549788881030110938,153648,0,0xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,-276348,-276311,3910.592294889403226984,7390.74745,23693842705888354660499436352398395110622,29288135444708490005325417576,13642581,6112210415445302511,3910.592294889403226984,7390.74745,11301.339744889403226984,0xa1f05e64e10aea6db5c26b0d484f3a4c5f0f4976f4a3ae71cbe6fc7d73727540#880,3931.978962137263807849,7412.278185,11344.257147137263807849,0xa1f05e64e10aea6db5c26b0d484f3a4c5f0f4976f4a3ae71cbe6fc7d73727540#881,,,,,,
13630282,0,0,0,191387.802064,0,0,154992#13630282,382794232580910720285,0x3bd04a7ffc87c27d136e9fbbd2dd08758f8ea2f5,0,0,454006.659188912621611768,452799.646978633681004782,452745.33274292746280052,631.219520985158811248,630.106925,272755.219451912621611768,181251.439737,261411.844914633681004782,191387.802064,269728630775507782220152208846870358632,259487216883439102970807987,154992,0,0x3bd04a7ffc87c27d136e9fbbd2dd08758f8ea2f5,-276329,-276319,272123.99993092746280052,180621.332812,23693842705888354660499436352398395110622,29288135444708490005325417576,13630282,,,,,,,,,,382794232580910720285,0,191387.802064,191387.802064,0x568a84196ec076d058a630c9c281d6fba488c9668d1ba60b897605a36b2e9793#217,1637115869
13630805,0,0,261411.844914633681004782,191387.802064,56393643148251911675075487210026558896,39378289733703386469082501,154992#13630805,905644748876015433174,0x3bd04a7ffc87c27d136e9fbbd2dd08758f8ea2f5,0,0,454006.659188912621611768,452799.646978633681004782,452745.33274292746280052,631.219520985158811248,630.106925,272755.219451912621611768,181251.439737,261411.844914633681004782,191387.802064,269728630775507782220152208846870358632,259487216883439102970807987,154992,0,0x3bd04a7ffc87c27d136e9fbbd2dd08758f8ea2f5,-276329,-276319,272123.99993092746280052,180621.332812,23693842705888354660499436352398395110622,29288135444708490005325417576,13630805,,,,,,,,,,522850516295104712889,261411.844914633681004782,0,261411.844914633681004782,0x4ac73b617db3efff405fbaad67f2847059625533f4359fccc324d880cc022b07#235,1637123002
13639306,631.219520985158811248,630.106925,261411.844914633681004782,191387.802064,269728630775507782220152208846870358632,259487216883439102970807987,154992#13639306,0,0x3bd04a7ffc87c27d136e9fbbd2dd08758f8ea2f5,272123.99993092746280052,180621.332812,454006.659188912621611768,452799.646978633681004782,452745.33274292746280052,631.219520985158811248,630.106925,272755.219451912621611768,181251.439737,261411.844914633681004782,191387.802064,269728630775507782220152208846870358632,259487216883439102970807987,154992,0,0x3bd04a7ffc87c27d136e9fbbd2dd08758f8ea2f5,-276329,-276319,272123.99993092746280052,180621.332812,23693842705888354660499436352398395110622,29288135444708490005325417576,13639306,905644748876015433174,272123.99993092746280052,180621.332812,452745.33274292746280052,0xbe03b348ec9abbd87ffa17c6d55a909431d11c7ed517e95b979ceddab1581165#626,272755.219451912621611768,181251.439737,454006.659188912621611768,0xbe03b348ec9abbd87ffa17c6d55a909431d11c7ed517e95b979ceddab1581165#627,,,,,,
13631170,0,0,199957.392453237395625079,57920.815421,115792089237316195423570985008687907853267438551101263868133908754533343680226,115792089237316195423570985008687907853269984665640561489832143572644095263819,155053#13631170,257957509416210556478,0xd1c04737c664b1baae54021fdbd22b9841c5d9dc,0,0,258525.006303373629916778,257878.207874237395625079,257874.304201985226639677,322.508192388403277101,328.193909,164108.042834373629916778,94416.963469,199957.392453237395625079,57920.815421,422887714875796275282631672941836233032,430384466763423721071473909,155053,0,0xd1c04737c664b1baae54021fdbd22b9841c5d9dc,-276331,-276311,163785.534641985226639677,94088.76956,23693842705888354660499436352398395110622,29288135444708490005325417576,13631170,,,,,,,,,,257957509416210556478,199957.392453237395625079,57920.815421,257878.207874237395625079,0x3a0cbdf74a9b1e73141389aeaffc02446dc705fe9ed5c6cf59885330611d32bb#260,1637127875
13682309,322.508192388403277101,328.193909,199957.392453237395625079,57920.815421,422887714875796275282631672941836233032,430384466763423721071473909,155053#13682309,0,0xd1c04737c664b1baae54021fdbd22b9841c5d9dc,163785.534641985226639677,94088.76956,258525.006303373629916778,257878.207874237395625079,257874.304201985226639677,322.508192388403277101,328.193909,164108.042834373629916778,94416.963469,199957.392453237395625079,57920.815421,422887714875796275282631672941836233032,430384466763423721071473909,155053,0,0xd1c04737c664b1baae54021fdbd22b9841c5d9dc,-276331,-276311,163785.534641985226639677,94088.76956,23693842705888354660499436352398395110622,29288135444708490005325417576,13682309,257957509416210556478,163785.534641985226639677,94088.76956,257874.304201985226639677,0xaef598404f98dbc41c206a0de581e3ccf757a7c7ce603864c49b6e510b8b5314#2303,164108.042834373629916778,94416.963469,258525.006303373629916778,0xaef598404f98dbc41c206a0de581e3ccf757a7c7ce603864c49b6e510b8b5314#2304,,,,,,
