id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
191061#14958901;0xf72b447a0a6f71c70b3345c8ef41cc2980dcf62d;0xe0554a476a092703abdb3ef35c80e0d76d32939f;8163.9557;14859.1018;8133.4654;191061;0;1061.682596;5.862425546794866194;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;347236890758409.0;1061.6826;5.8624;8133.4654;1655166285;1.0;1175.1864;14859.1017;10088.1934;7951.1254;20.0804;0.0086;-1924.2377;-1954.728;-2137.068;10837648.0;-0.1316;-0.2403;-6695.1461;-0.4506;-1954.728;-0.1316;-0.5508;1.0;0.5351;-0.1219;-0.1219;-0.5508;30.4904;0.0001;7000.6618;0.001;1000.002
226446#18032608;0x09c64a95c610e7bf78ef481ea9c4bf6756ad5351;0xe0554a476a092703abdb3ef35c80e0d76d32939f;16.7483;27.7513;16.5961;226446;0;0;0.009756856131164206;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;358932402229492.0;0.0;0.0098;16.5961;1693461407;1.0;1700.9647;27.8095;24.6341;16.5961;0.0946;0.0;-7.8857;-8.038;-8.038;42420866.0;-0.289;-0.4843;-11.003;-0.3965;-8.038;-0.2896;-0.389;1.0;0.5968;-0.2523;-0.2523;-0.389;0.1523;0.0004;2849.2324;0.0004;2840.982
226686#14713960;0x705b1cfed661b5b3eee7605a918c82900f245e81;0xe0554a476a092703abdb3ef35c80e0d76d32939f;125600.7319;124161.9864;125493.2197;226686;0;82346.254661;14.698258611453225141;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.1293337633658616e+16;82346.2547;14.6983;125493.2197;1651708755;1.0;2935.5154;124125.9485;125602.8448;125493.2192;53.78;0.0183;-2.1129;-109.6251;-109.6256;622369.0;-0.0009;-0.0009;1438.7455;0.0116;-109.6251;-0.0009;-0.0433;1.0;1.011;-0.0001;-0.0001;-0.0433;107.5122;0.0003;3400.2222;0.0005;2200.2314
230357#18032610;0x09c64a95c610e7bf78ef481ea9c4bf6756ad5351;0xe0554a476a092703abdb3ef35c80e0d76d32939f;10.465;16.7646;10.4307;230357;0;0;0.006132203040130555;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;237288793647016.0;0.0;0.0061;10.4307;1693461431;1.0;1700.9647;16.7629;14.1935;10.4307;0.0208;0.0;-3.7285;-3.7629;-3.7629;41651124.0;-0.2245;-0.3607;-6.2996;-0.3758;-3.7629;-0.2245;-0.2875;1.0;0.6222;-0.2326;-0.2326;-0.2875;0.0343;0.0004;2732.3218;0.0004;2724.9549
230756#14723595;0x4e005f8c58defde5a6b6d42a03f059d15169cdf2;0xe0554a476a092703abdb3ef35c80e0d76d32939f;1.1179;1.1169;1.1179;230756;0;0.999999;0.000043494633288507;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;15951059483123.002;1.0;0.0;1.1179;1651840906;1.0;2684.5973;1.1168;1.1168;1.1168;0.0;0.0;0.0011;0.0011;-0.0;743.0;0.001;0.001;0.001;0.0009;0.0011;0.001;1.232809270023549e+18;1.0;1.0;-0.0;-0.0;1.232809270023549e+18;0.0;0.0004;2695.6851;0.0004;2688.417
230756#14723595;0x4e005f8c58defde5a6b6d42a03f059d15169cdf2;0xe0554a476a092703abdb3ef35c80e0d76d32939f;1.1179;1.1169;1.1179;230756;0;0.999999;0.000043494633288507;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;15951059483123.002;1.0;0.0;1.1179;1651840906;1.0;2684.5973;1.1168;1.1168;1.1168;0.0;0.0;0.0011;0.0011;-0.0;743.0;0.001;0.001;0.001;0.0009;0.0011;0.001;1.232809270023549e+18;1.0;1.0;-0.0;-0.0;1.232809270023549e+18;0.0;0.0004;2695.6851;0.0004;2688.417
231707#14728274;0xba73982421b29d422be578556aab17a0a250ac89;0xe0554a476a092703abdb3ef35c80e0d76d32939f;0.0;0.0;0.0;231707;0;0;0.000000005806242475;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;111657415.0;0.0;0.0;0.0;1651906026;1.0;2661.7943;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;-0.0;2808.0;-0.005;-0.005;-0.0;-0.0061;-0.0;-0.005;-1.0;1.0;0.995;-0.0018;-0.0018;-1.0;0.0;0.0004;2702.973;0.0004;2688.417
233074#14733266;0x68be8d7053181e4968063df4aad06975751ad75e;0xe0554a476a092703abdb3ef35c80e0d76d32939f;83.9427;85.966;83.9325;233074;0;6.974477;0.029441630096049765;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1229904019845335.0;6.9745;0.0294;83.9325;1651974341;1.0;2594.8625;85.9472;85.1323;83.3715;0.0025;0.0;-1.1895;-1.1997;-1.7608;44259.0;-0.014;-0.0143;-2.0233;-0.0235;-1.1997;-0.014;-1.0;1.0;0.97;-0.0149;-0.0149;-1.0;0.0102;0.0004;2688.417;0.0004;2681.1684
235226#14736200;0xe491b1f14ddbccde1881c7fd492cd06943bb8732;0xe0554a476a092703abdb3ef35c80e0d76d32939f;223.9744;224.2893;223.9717;235226;0;128.601914;0.037260539455500371;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1736699649628901.0;128.6019;0.0373;223.9717;1652014439;1.0;2559.5058;224.2893;223.8479;223.9705;0.0028;0.0;0.1265;0.1237;0.1225;4000.0;0.0006;0.0006;-0.3149;-0.0014;0.1237;0.0006;77.0123;1.0;0.9986;-0.0002;-0.0002;77.0123;0.0028;0.0004;2577.3317;0.0004;2564.2214
241509#14797839;0xaa34db7057ba2ec4d61562c925bfbc9abba24232;0xe0554a476a092703abdb3ef35c80e0d76d32939f;3.1988;3.1948;3.1986;241509;0;3.0454;0.000075554044700515;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;71059894059977.0;3.0454;0.0001;3.1986;1652863118;1.0;2028.1992;3.2025;3.1999;3.1986;0.0002;0.0;-0.001;-0.0012;-0.0012;3402.0;-0.0004;-0.0004;0.0041;0.0013;-0.0012;-0.0004;-0.9734;1.0;0.9988;-0.0004;-0.0004;-0.9734;0.0002;0.0005;2028.4392;0.0005;2024.3866
