id,owner,pool_id,position_amountCollectedUSD,position_amountDepositedUSD,position_amountWithdrawnUSD,position_id,position_liquidity,position_withdrawnToken0,position_withdrawnToken1,position_token0.id,position_token1.id,event_amount,event_amount0,event_amount1,event_amountUSD,event_timestamp,price_0,price_1,initialValue,HODLValue,finalValue,event_fees0,event_fees1,lossVersusHODLFees,lossVersusHODLExact,lossVersusHODLEst,weightedDurationSeconds,IL_initial,IL_final,absolute_return,relative_return,IL_total_abs,IL_total_rel,IL_annualized,relativeBurnSize,priceQuotient,IL_formula,IL_formula_total,IL_annualized_total,event_feesUSD,price0_lower,price1_lower,price0_upper,price1_upper
100018#12932565,0xd641b2970774d3d2520d1569e839fe637328e008,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7999.999999,8000.0,7999.999999,100018,0,7999.999999,0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.542265997476463e+16,7999.999999,0.0,7999.999999,1627724329,1.0,2458.9116,8000.0,8000.0,7999.999999,0.0,0.0,-1.0000003385357559e-06,-1.0000003385357559e-06,-1.0000003385357559e-06,87415.0,-1.2500004231696948e-10,-1.250000423325945e-10,-1.0000003385357559e-06,-1.2500004231696948e-10,-1.0000003385357559e-06,-1.2500004231696948e-10,-4.512612528095872e-08,1.0,0.999999999875,0.0,0.0,-4.512612528095872e-08,0.0,0.0004447417641346526,2248.4958253150116,0.0004546340040167231,2199.571504033861
100055#12935564,0x93656fd28ab583e8e17f02c4299a8e34d5177a91,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,179500.151687684,176334.27255467372,179053.596398,100055,0,179053.596398,0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2.4430660372706474e+17,179053.596398,0.0,179053.596398,1627765455,1.0,2530.1602,176389.64595992747,188852.656622819,179053.596398,261.193311,0.07416183061221542,-9350.225601644828,-9799.060224818997,-9799.060224818997,123235.99999999999,-0.0555534888201157,-0.054726966796230465,3165.879133010283,0.017953850304561068,-9799.060224818997,-0.05557093401556823,-0.9999994493962402,1.0,1.0151026463235702,-0.0037590302120279217,-0.0037590302120279217,-0.9999994493962402,448.83462317416905,0.0004126078219474843,2423.608925492638,0.0004251729631530603,2351.9839845507877
100059#12959805,0x2366f7b0ae4a2c3c33a306c7f059dab8ec726077,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12079.99632084398,11286.883378636292,11759.859145,100059,0,11759.859145,0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3897994076369925.0,11759.859145,0.0,11759.859145,1628095449,1.0,2715.3666,11286.883215682115,12677.884023839753,11759.859145,156.311602,0.06046095238532268,-597.5396261284575,-918.024878839753,-918.024878839753,452991.0,-0.08133555218895501,-0.07806427504959312,793.1129422076883,0.07026855116700197,-918.024878839753,-0.08133555101467443,-0.9965256642830205,1.0,1.041904919212837,-0.007011362587107359,-0.007011362587107359,-0.9965256642830205,320.4852527112955,0.00038471432963672897,2599.331303682558,0.0004346299408467661,2300.807896602231
100093#12963841,0x34921ddccd844d0cd7b30b473889cefeae138411,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,136023.80364318273,125620.58034260619,134623.12851483596,100093,0,84607.684603,18.660094186640101316,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.1890934899226496e+16,84607.684603,18.6600941866401,134623.12851483596,1628151417,1.0,2643.3957,125620.58173057149,136202.2064481433,133933.69733755945,694.00075,0.26365077319878955,-188.14386313197406,-1579.0779333073297,-2268.5091105838364,505392.0,-0.01257021669183243,-0.011729618459530225,10403.223300576545,0.08281464129686184,-1579.0779333073297,-0.012570216830719103,-0.5213320778315325,1.0,1.0661763820264563,-0.00467497229962512,-0.00467497229962512,-0.5213320778315325,1390.9340701753556,0.00031403712369525725,3184.3368969663716,0.0004999399337963983,2000.2402936814651
100102#12935183,0x57e7298d133cbade14fdc633464fec839dd196bf,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,44671.669480694654,44080.28570248738,44528.49674,100102,0,44528.49674,0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2.485235121875274e+16,44528.49674,0.0,44528.49674,1627759701,1.0,2458.4659,44080.18244166685,45199.74272571204,44528.49674,76.271238,0.027242452641154817,-528.0001068613971,-671.2459857120411,-671.2459857120411,112736.0,-0.015227840460967442,-0.015074526086775798,591.3837782072733,0.013416060462918062,-671.2459857120411,-0.015227804788800718,-0.9857623003828544,1.0,1.0101704274687706,-0.0006983067729389905,-0.0006983067729389905,-0.9857623003828544,143.24587885064406,0.0004109607693121842,2433.3222893116476,0.0004425237159556884,2259.7658926377944
100123#12937433,0x2391e021acb65eaa94e053446f2dd623651a9f5c,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,47202.97527515299,46794.38444740871,47088.963282,100123,0,47088.963282,0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3.4781977059623184e+16,47088.963282,0.0,47088.963282,1627790912,1.0,2628.2358,46794.38448660039,49837.930686551386,47088.963282,60.576672,0.020428576617219207,-2634.699616142971,-2748.9674045513893,-2748.9674045513893,140923.0,-0.058745668624801725,-0.0583781678965567,408.5908277442795,0.00873162095343912,-2748.9674045513893,-0.058745668674002965,-0.9999985873425054,1.0,1.0062951740605532,-0.0003541008285671331,-0.0003541008285671331,-0.9999985873425054,114.26778840841843,0.00041592175689545254,2404.298364827698,0.0004398766551340355,2273.364563289426
100227#12928171,0x783fec31d816bd47edac950a1e0d6bbac45ccbcc,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7161.826383,7161.826384,7161.826383,100227,0,7161.826383,0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.4812594111729597e+17,7161.826383,0.0,7161.826383,1627664215,1.0,2342.5797,7161.826384,7161.826384,7161.826383,0.0,0.0,-1.0000003385357559e-06,-1.0000003385357559e-06,-1.0000003385357559e-06,218.0,-1.3962923490714933e-10,-1.3962923492664567e-10,-1.0000003385357559e-06,-1.3962923490714933e-10,-1.0000003385357559e-06,-1.3962923490714933e-10,-2.021246705796731e-05,1.0,0.9999999998603708,0.0,0.0,-2.021246705796731e-05,0.0,0.00042730404468081486,2340.2540005137894,0.00042815946513519496,2335.5784034442436
100263#12928828,0x143f59c155e2d932957c3f942611dba4216b070b,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,41791.57066941522,41749.642823,41749.642822,100263,0,41749.642822,0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.7239716914534477e+18,41749.642822,0.0,41749.642822,1627673190,1.0,2373.6579,41749.642823,41749.642823,41749.642822,20.885264,0.008902075883620427,42.015745747554774,-1.0000003385357559e-06,-1.0000003385357559e-06,4908.0,-2.3952308832324975e-11,-2.3952308832898686e-11,41.927846415215754,0.00100426838603078,-1.0000003385357559e-06,-2.3952308832324975e-11,-1.5400907871221392e-07,1.0,0.9999999999760477,0.0,0.0,-1.5400907871221392e-07,42.01574674755511,0.0004260241173928996,2347.2849521280805,0.0004264503332722771,2344.938957666441
100280#12935614,0x0cd1e18cf57a1536bdcde52a435d06532b920162,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,20428.17559482971,19818.51931185772,20393.930796335444,100280,0,13537.11879,2.732617116092795823,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2262924407785149.0,13537.11879,2.7326171160927957,20393.930796335444,1627766070,1.0,2530.1602,19818.52780489512,20605.87972217953,20451.077858976772,17.87368,0.006524314589008084,-177.5676847386968,-211.94892584408444,-154.80186320275607,96041.0,-0.010694483865331998,-0.010392745173096754,609.6562829719915,0.03076194913346654,-211.94892584408444,-0.010694488448351044,-0.9677025080464624,1.0,1.0319171060690702,-0.0013648520559419487,-0.0013648520559419487,-0.9677025080464624,34.381241105387616,0.00035090153520119953,2849.8022940441715,0.0005125953327735743,1950.8566232726976
100297#12928978,0x143f59c155e2d932957c3f942611dba4216b070b,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,41735.77440199591,41602.59617527231,41706.531523,100297,0,41706.531523,0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.7136024552066957e+18,41706.531523,0.0,41706.531523,1627675221,1.0,2420.3998,41776.37904000001,42599.03648,41706.531523,25.049257,0.001766733954086808,-863.1794974908797,-892.5049570000047,-892.5049570000047,1606.0,-0.021363865837808724,-0.021399644717705977,133.17822672359762,0.0032011999001820926,-892.5049570000047,-0.021453107234939595,-1.0,1.0,0.9983280619669519,-0.0007117636616648402,-0.0007117636616648402,-1.0,29.32545950912492,0.0004217853174765243,2370.874372732659,0.00042220729264801673,2368.504801819409
