id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
103262#13137753;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;0.0;0.0;0.0;1630471636;47161.6122;3453.9385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;17348.5779;0.0522;-9616.3961;-0.0289;;0.0;;;-0.0434;-0.1491;0.0;0.0;0.0;0.0;0.0
103262#13337198;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;0.0;0.0;0.0;1633141874;47706.3136;3301.138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;17348.5779;0.0522;-9616.3961;-0.0289;;0.0;;;-0.0434;-0.1491;0.0;0.0;0.0;0.0;0.0
103262#13701045;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;491274910876199.0;2.434;6.2459;158390.4705;1638084153;54615.7469;4074.9426;150602.9072;162145.2967;158384.7471;0.0;0.0;-3754.8263;-3754.8263;-3760.5496;5313566.0393;-0.0249;-0.0237;17348.5779;0.0522;-9616.3961;-0.0289;-0.1328;0.4664;1.0517;-0.0029;-0.0434;-0.1491;0.0;12.4893;0.0801;20.0023;0.05
103262#14597115;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;195858421047188.0;0.9886;2.2462;46586.7867;1650122644;40186.5344;3019.2179;46209.6529;47559.1825;46510.8227;0.0;0.0;-972.3959;-972.3959;-1048.3598;3315083.0;-0.021;-0.0209;17348.5779;0.0522;-9616.3961;-0.0289;-0.1819;0.1372;1.0065;-0.0;-0.0434;-0.1491;0.0;12.4893;0.0801;20.0023;0.05
103262#15243216;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;0.0;0.0;0.0;1659176555;23768.8834;1685.5681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;17348.5779;0.0522;-9616.3961;-0.0289;;0.0;;;-0.0434;-0.1491;0.0;0.0;0.0;0.0;0.0
103262#15525381;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;0.0;0.0;0.0;1663049692;22266.8669;1707.7677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;17348.5779;0.0522;-9616.3961;-0.0289;;0.0;;;-0.0434;-0.1491;0.0;0.0;0.0;0.0;0.0
103262#15846331;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;0.0;0.0;0.0;1666957367;20155.957;1499.322;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;17348.5779;0.0522;-9616.3961;-0.0289;;0.0;;;-0.0434;-0.1491;0.0;0.0;0.0;0.0;0.0
103262#16023302;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;336000900065692.0;1.3789;8.2256;30752.4966;1669092983;15717.2237;1101.8363;53626.12;31678.0107;30735.6797;0.0;0.0;-925.514;-925.514;-942.331;13924022.4971;-0.0173;-0.0301;17348.5779;0.0522;-9616.3961;-0.0289;-0.0669;0.0906;0.5731;-0.2258;-0.0434;-0.1491;0.0;12.4893;0.0801;20.0023;0.05
103262#19124491;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;0.0;0.0;0.0;1706680163;42840.023;2336.6265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;17348.5779;0.0522;-9616.3961;-0.0289;;0.0;;;-0.0434;-0.1491;0.0;0.0;0.0;0.0;0.0
103262#19550881;0xfc36ecaebfc07b838f3a249f851f4157ec788ebc;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;349530.3261;332181.7483;339592.6306;103262;0;4.80148368;48.82141285141313176;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;0.0;0.0;0.0;1711851755;70133.0129;3533.0641;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;17348.5779;0.0522;-9616.3961;-0.0289;;0.0;;;-0.0434;-0.1491;0.0;0.0;0.0;0.0;0.0
