id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper;IL_formula_annualized;average_mint_price0;average_mint_price1;priceQuotient0;priceQuotient1
102244#12964997;0xe221ef492455d944bb138157d03f101a2b00197f;0x6c6bc977e13df9b0de53b251522280bb72383700;283,960786;283,923612;283,891406;102244;0;134.894192426713950285;148.997214;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2,8397357255397062e+17;134,894192;148,997214;283,891406;1628166792;1,0;1,0;283,923612;283,923612;283,891406;0,047432;0,021948;0,037174;-0,032206;-0,032206;311883,0;-0,000113;-0,000113;0,037174;0,000131;-0,032206;-0,000113;-0,011414;1,0;0,0;0,0;-0,011414;0,000131;0,06938;0,999403;0,998598;1,001404;1,000598;0,0;1,0;1,0;1,0;1,0
102905#16357416;0xb1ed26254e15f2e5698a9e398629909a129972d3;0x6c6bc977e13df9b0de53b251522280bb72383700;346,407146;339,334218;339,27854;102905;0;249.579116150176606005;89.699424;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3,3939368270301344e+17;249,579116;89,699424;339,27854;1673124779;1,0;1,0;339,334218;339,334218;339,27854;3,609136;3,51947;7,072929;-0,055677;-0,055677;45205659,0;-0,000164;-0,000164;7,072929;0,020844;-0,055677;-0,000164;-0,000115;1,0;0,0;0,0;-0,000115;0,020847;7,128606;0,999403;0,998598;1,001404;1,000598;0,0;1,0;1,0;1,0;1,0
106475#17948957;0xc8fb1def1d3b4065a007c71b21c3c87d9986a0cf;0x6c6bc977e13df9b0de53b251522280bb72383700;215368,587781;210521,863118;210519,332259;106475;0;104646.118217458962204957;105873.214042;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2,1058224776711003e+20;104646,118217;105873,214042;210519,332259;1692449783;1,0;1,0;210521,863118;210521,863118;210519,332259;2430,568783;2418,686739;4846,724664;-2,530858;-2,530858;64104076,0;-1,2e-05;-1,2e-05;4846,724664;0,023022;-2,530858;-1,2e-05;-6e-06;1,0;0,0;0,0;-6e-06;0,023023;4849,255522;0,999403;0,998598;1,001404;1,000598;0,0;1,0;1,0;1,0;1,0
107633#15092225;0x0dcdc764ce90c21b794244362564fda486192385;0x6c6bc977e13df9b0de53b251522280bb72383700;452,17455;447,778545;447,761877;107633;0;271.570431677384258651;176.191445;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2,2400861335129014e+17;271,570432;176,191445;447,761877;1657153859;1,0;1,0;447,778545;447,778545;447,761877;2,227206;2,185467;4,396004;-0,016669;-0,016669;28690977,0;-3,7e-05;-3,7e-05;4,396004;0,009817;-0,016669;-3,7e-05;-4,1e-05;1,0;0,0;0,0;-4,1e-05;0,009818;4,412673;0,998404;0,9976;1,002405;1,001599;0,0;1,0;1,0;1,0;1,0
109220#15371418;0x107f1a87bb6931cddd77324ae5f94b145426f910;0x6c6bc977e13df9b0de53b251522280bb72383700;381758,823122;378225,096995;378181,980821;109220;0;378181.980820950768047117;0;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;7,567432120485965e+20;378181,980821;0,0;378181,980821;1660913963;1,0;1,0;378225,096995;378225,096995;378181,980821;1808,584186;1768,258115;3533,726127;-43,116174;-43,116174;32236161,0;-0,000114;-0,000114;3533,726127;0,009343;-43,116174;-0,000114;-0,000112;1,0;-0,000114;-0,000114;-0,000112;0,009344;3576,842301;1,000403;0,998598;1,001404;0,999597;-0,000112;1,0;1,0;1,0;1,0
110308#16211791;0x3af42e1100715a6e56abcadb3f7d700999fa6689;0x6c6bc977e13df9b0de53b251522280bb72383700;189,488639;185,831105;185,808714;110308;0;137.149514913118005662;48.659199;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1,8587174004709443e+17;137,149515;48,659199;185,808714;1671369095;1,0;1,0;185,831105;185,831105;185,808714;1,861985;1,81794;3,657534;-0,022391;-0,022391;42526081,0;-0,00012;-0,000121;3,657534;0,019682;-0,022391;-0,00012;-8,9e-05;1,0;0,0;0,0;-8,9e-05;0,019684;3,679925;0,999403;0,998598;1,001404;1,000598;0,0;1,0;1,0;1,0;1,0
111010#17560118;0xdedaa514b89fee98d5147ef963e800d4390b6384;0x6c6bc977e13df9b0de53b251522280bb72383700;1594,806829;1560,140984;1560,004094;111010;0;810.612839931186070427;749.396926;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1,5604895529068882e+18;810,61284;749,396926;1560,004094;1687740167;1,0;1,0;1560,140984;1560,140984;1560,009766;17,497496;17,305361;34,665844;-0,136891;-0,131218;58787389,0;-8,8e-05;-8,8e-05;34,665844;0,02222;-0,136891;-8,8e-05;-4,7e-05;1,0;0,0;0,0;-4,7e-05;0,022222;34,802735;0,999403;0,998598;1,001404;1,000598;0,0;1,0;1,0;1,0;1,0
111181#14962774;0xbe7c83c90fc7b73e83fe72b75885a7609f921b00;0x6c6bc977e13df9b0de53b251522280bb72383700;354560,867207;347700,891633;347902,281105;111181;0;239125.144155989508612518;108598.80545;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3,478423035063655e+20;239125,144156;108598,80545;347902,281105;1655225647;1,0;1,0;347767,999385;347767,999385;347723,949606;3365,471359;3290,604888;6792,867822;134,28172;-44,049779;26243914,0;0,000386;0,000386;6859,975574;0,01973;134,28172;0,000386;0,000464;1,0;0,0;0,0;0,000464;0,019525;6658,586102;0,999403;0,998598;1,001404;1,000598;0,0;1,0;1,0;1,0;1,0
111816#15293918;0xb605ab89b33f18cdb129ea16f75ca5d0417feed4;0x6c6bc977e13df9b0de53b251522280bb72383700;13099,669539;12852,177704;12852,264087;111816;0;8774.653318608105788164;4075.912162;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1,285493739177823e+19;8774,653319;4075,912162;12852,264087;1659858635;1,0;1,0;12852,177704;12852,177704;12850,565481;125,053716;122,327529;247,491836;0,086383;-1,612223;30773023,0;7e-06;7e-06;247,491836;0,019257;0,086383;7e-06;7e-06;1,0;0,0;0,0;7e-06;0,019257;247,405453;0,999403;0,998598;1,001404;1,000598;0,0;1,0;1,0;1,0;1,0
117404#16589698;0xc2edb3110a09a1802ef80ded6ef28d3f863e5dfd;0x6c6bc977e13df9b0de53b251522280bb72383700;800,442842;794,99679;794,662822;117404;0;794.662822268945962174;0;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1,5901225524124465e+18;794,662822;0,0;794,662822;1675927583;1,0;1,0;794,99679;794,99679;794,662822;3,007608;2,772412;5,446052;-0,333968;-0,333968;46064901,0;-0,00042;-0,00042;5,446052;0,00685;-0,333968;-0,00042;-0,000288;1,0;-0,00042;-0,00042;-0,000288;0,006853;5,78002;1,000403;0,998598;1,001404;0,999597;-0,000288;1,0;1,0;1,0;1,0
