id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
102244#12964997;0xe221ef492455d944bb138157d03f101a2b00197f;0x6c6bc977e13df9b0de53b251522280bb72383700;283.9608;283.9236;283.8914;102244;0;134.894192426713950285;148.997214;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.839735725539706e+17;134.8942;148.9972;283.8914;1628166792.0;1.0;1.0;283.9236;283.9236;283.8914;0.0474;0.0219;0.0372;-0.0322;-0.0322;311883.0;-0.0001;-0.0001;0.0372;0.0001;-0.0322;-0.0001;-0.0114;1.0;0.9999;-0.0;-0.0;-0.0114;0.0694;0.9994;1.0006;1.0014;0.9986
106475#17948957;0xc8fb1def1d3b4065a007c71b21c3c87d9986a0cf;0x6c6bc977e13df9b0de53b251522280bb72383700;215368.5878;210521.8631;210519.3323;106475;0;104646.118217458962204957;105873.214042;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.1058224776711003e+20;104646.1182;105873.214;210519.3323;1692449783.0;1.0;1.0;210521.8631;210521.8631;210519.3323;2430.5688;2418.6867;4846.7247;-2.5309;-2.5309;64104076.0;-0.0;-0.0;4846.7247;0.023;-2.5309;-0.0;-0.0;1.0;1.0;-0.0;-0.0;-0.0;4849.2555;0.9994;1.0006;1.0014;0.9986
107633#15092225;0x0dcdc764ce90c21b794244362564fda486192385;0x6c6bc977e13df9b0de53b251522280bb72383700;452.1745;447.7785;447.7619;107633;0;271.570431677384258651;176.191445;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;2.2400861335129014e+17;271.5704;176.1914;447.7619;1657153859.0;1.0;1.0;447.7785;447.7785;447.7619;2.2272;2.1855;4.396;-0.0167;-0.0167;28690977.0;-0.0;-0.0;4.396;0.0098;-0.0167;-0.0;-0.0;1.0;1.0;-0.0;-0.0;-0.0;4.4127;0.9984;1.0016;1.0024;0.9976
109220#15371418;0x107f1a87bb6931cddd77324ae5f94b145426f910;0x6c6bc977e13df9b0de53b251522280bb72383700;381758.8231;378225.097;378181.9808;109220;0;378181.980820950768047117;0;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;7.567432120485965e+20;378181.9808;0.0;378181.9808;1660913963.0;1.0;1.0;378225.097;378225.097;378181.9808;1808.5842;1768.2581;3533.7261;-43.1162;-43.1162;32236161.0;-0.0001;-0.0001;3533.7261;0.0093;-43.1162;-0.0001;-0.0001;1.0;0.9999;-0.0;-0.0;-0.0001;3576.8423;1.0004;0.9996;1.0014;0.9986
110308#16211791;0x3af42e1100715a6e56abcadb3f7d700999fa6689;0x6c6bc977e13df9b0de53b251522280bb72383700;189.4886;185.8311;185.8087;110308;0;137.149514913118005662;48.659199;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.8587174004709443e+17;137.1495;48.6592;185.8087;1671369095.0;1.0;1.0;185.8311;185.8311;185.8087;1.862;1.8179;3.6575;-0.0224;-0.0224;42526081.0;-0.0001;-0.0001;3.6575;0.0197;-0.0224;-0.0001;-0.0001;1.0;0.9999;-0.0;-0.0;-0.0001;3.6799;0.9994;1.0006;1.0014;0.9986
111010#17560118;0xdedaa514b89fee98d5147ef963e800d4390b6384;0x6c6bc977e13df9b0de53b251522280bb72383700;1594.8068;1560.141;1560.0041;111010;0;810.612839931186070427;749.396926;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.5604895529068882e+18;810.6128;749.3969;1594.8068;1687740167.0;1.0;1.0;1560.141;1560.141;1560.0098;17.4975;17.3054;34.6658;-0.1369;-0.1312;58787389.0;-0.0001;-0.0001;34.6658;0.0222;-0.1369;-0.0001;-0.0;1.0223;0.9999;-0.0;-0.0;-0.0;34.8027;0.9994;1.0006;1.0014;0.9986
111181#14962774;0xbe7c83c90fc7b73e83fe72b75885a7609f921b00;0x6c6bc977e13df9b0de53b251522280bb72383700;354560.8672;347700.8916;347902.2811;111181;0;239125.144155989508612518;108598.80545;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;3.478423035063655e+20;239125.1442;108598.8054;347902.2811;1655225647.0;1.0;1.0;347767.9994;347767.9994;347723.9496;3365.4714;3290.6049;6792.8678;134.2817;-44.0498;26243914.0;0.0004;0.0004;6859.9756;0.0197;134.2817;0.0004;0.0005;1.0;0.9999;-0.0;-0.0;0.0005;6658.5861;0.9994;1.0006;1.0014;0.9986
111816#15293918;0xb605ab89b33f18cdb129ea16f75ca5d0417feed4;0x6c6bc977e13df9b0de53b251522280bb72383700;13099.6695;12852.1777;12852.2641;111816;0;8774.653318608105788164;4075.912162;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.285493739177823e+19;8774.6533;4075.9122;12852.2641;1659858635.0;1.0;1.0;12852.1777;12852.1777;12850.5655;125.0537;122.3275;247.4918;0.0864;-1.6122;30773023.0;0.0;0.0;247.4918;0.0193;0.0864;0.0;0.0;1.0;0.9999;-0.0;-0.0;0.0;247.4055;0.9994;1.0006;1.0014;0.9986
117404#16589698;0xc2edb3110a09a1802ef80ded6ef28d3f863e5dfd;0x6c6bc977e13df9b0de53b251522280bb72383700;800.4428;794.9968;794.6628;117404;0;794.662822268945962174;0;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1.5901225524124465e+18;794.6628;0.0;794.6628;1675927583.0;1.0;1.0;794.9968;794.9968;794.6628;3.0076;2.7724;5.4461;-0.334;-0.334;46064901.0;-0.0004;-0.0004;5.4461;0.0069;-0.334;-0.0004;-0.0003;1.0;0.9996;-0.0001;-0.0001;-0.0003;5.78;1.0004;0.9996;1.0014;0.9986
120275#15298932;0xd07892a80b2097cca0574939b0bd6cd2dc7e1008;0x6c6bc977e13df9b0de53b251522280bb72383700;452.0679;444.1286;444.099;120275;0;303.412245157548378684;140.686727;0x6b175474e89094c44da98b954eedeac495271d0f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;4.442500660562183e+17;303.4122;140.6867;444.099;1659925443.0;1.0;1.0;444.1286;444.1286;444.099;4.0211;3.9479;7.9393;-0.0296;-0.0296;29448586.0;-0.0001;-0.0001;7.9393;0.0179;-0.0296;-0.0001;-0.0001;1.0;0.9999;-0.0;-0.0;-0.0001;7.969;0.9994;1.0006;1.0014;0.9986
