id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper;IL_formula_annualized;average_mint_price0;average_mint_price1;priceQuotient0;priceQuotient1
12020#14778891;0x234fa8beab7f87be4670addf1277a5ced68071a2;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;3487,221597;34833,670327;2319,531129;12020;0;0.725475795226987166;0.573182952213991169;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;6,452139614504649e+17;0,725476;0,573183;2319,531129;1652603382;1584,8273;2021,4274;34835,960174;10355,143399;2308,401571;0,700963;0,024817;-6867,921802;-8035,61227;-8046,741828;31967362,0;-0,23067;-3,464326;-31346,44873;-0,899889;-8035,61227;-0,230685;;1,0;-0,030548;-0,030548;0,0;-2,96091;1167,690468;1e-06;0,0;11196231407,201595;1003805,711496;-0,030162;5357,8633;4142,361;0,60615;1,649757
217068#15495496;0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;3183002,686262;8156357,959229;2880725,89184;217068;0;3951.886750983597412597;0;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;6,511173042152865e+21;3951,886751;0,0;2880725,89184;1662625285;728,9495;1620,623;8150027,221258;3010069,254717;2880725,871186;121,767631;82,515335;172933,431545;-129343,362877;-129343,383531;12707199,368137;-0,01587;-0,0449;-4973355,272967;-0,609752;-129343,362877;-0,015858;-0,107819;1,0;-0,0449;-0,0449;-0,107819;0,060031;302276,794422;0,606546;0,458424;2,181387;1,64868;-0,107819;2,405353;4,552413;0,851291;1,174686
229193#15593433;0xcde850e02a5d1ebedb5e1d2b177af8770354fdb7;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;1840,658179;1748,347512;856,070887;229193;0;0.277019724926056539;0.471873851114317223;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3,3696301300721984e+17;0,175324;0,214903;404,264745;1663904603;662,2053;1341,2882;875,41601;406,509842;404,347533;0,718437;0,009748;980,334146;-2,245097;-2,162309;12376498,0;-0,002565;-0,005554;92,310667;0,052799;-4,737299;-0,00271;-0,0141;0,472233;-0,000372;-0,006761;-0,013297;2,424981;982,579243;0,003028;0,852151;1,173501;330,203793;-0,000948;1475,5793;2861,5025;0,957419;1,044475
229193#15714126;0xcde850e02a5d1ebedb5e1d2b177af8770354fdb7;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;1840,658179;1748,347512;856,070887;229193;0;0.277019724926056539;0.471873851114317223;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2,5272225975541488e+17;0,069095;0,197306;324,330087;1665361787;908,9455;1330,1113;656,562007;326,938088;325,242896;0,00038;0,000774;-1,236275;-2,608001;-1,695193;13833682,0;-0,003972;-0,008041;92,310667;0,052799;-4,737299;-0,00271;-0,018249;0,378859;-0,01668;-0,006761;-0,013297;-0,003812;1,371726;0,003028;0,852151;1,173501;330,203793;-0,037645;1475,5793;2861,5025;1,3252;0,754603
229193#15852725;0x09ef51b568a7498f7e62325362197377b4838f8c;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;1840,658179;1748,347512;856,070887;229193;0;0.277019724926056539;0.471873851114317223;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;8,424075325180496e+16;0,0326;0,059665;127,476055;1667034551;923,3942;1630,0208;218,854002;127,360255;127,35757;0,00035;0,000191;0,752123;0,1158;-0,002686;15506446,0;0,000529;0,000908;92,310667;0,052799;-4,737299;-0,00271;0,00185;0,148908;-0,00179;-0,006761;-0,013297;0,0059;0,636323;0,003028;0,852151;1,173501;330,203793;-0,00364;1475,5793;2861,5025;1,098565;0,910279
238989#14777195;0xe34bb624055b171d777eccbbfc3baaeeffbe432c;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;2254,943629;2251,108442;2251,615765;238989;0;1.352517191617234897;0.09349266892057223;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3,9505613456590484e+18;1,352517;0,093493;2251,615765;1652579523;1525,527;2037,5696;2229,539787;2254,664836;2253,799314;0,001044;0,000852;0,278793;-3,049071;-0,865523;32856,872053;-0,001368;-0,001354;3,835187;0,001704;-3,049071;-0,001354;-0,727878;1,0;-1,8e-05;-1,8e-05;-0,727878;0,000124;3,327864;0,711782;0,657061;1,52193;1,404924;-0,016868;844,389116;1133,221032;1,0048;0,995223
262125#15279273;0x5682cddb3bbb1731ceb8c4cd761eac9f31b84d27;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;11347,921343;8517,383405;11299,500716;262125;0;5.735576126900136493;3.262040110508549385;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;7,803464653623302e+18;5,735576;3,26204;11299,500716;1659661782;1069,0056;1644,4828;8502,415629;11662,80649;11495,731854;0,027963;0,011765;-314,885147;-363,305775;-167,074637;2995370,0;-0,04273;-0,032152;2830,537939;0,332325;-363,305775;-0,042655;-0,291287;1,0;-0,015485;-0,015485;-0,291287;-0,027867;48,420628;0,152604;0,251596;3,974627;6,552889;-0,15161;899,9903;1063,0376;0,767824;1,302383
32870#18140107;0x90d2cd53afdd5a8f4d476c7f7b23314111bb39b6;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;43,816326;131,659883;43,215523;32870;0;0.036134125978203862;0;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2,1415509226369124e+18;0,036134;0,0;43,215523;1694762531;1210,2126;1631,0626;131,652553;58,377085;43,729975;0,000266;0,000174;-14,560759;-15,161562;-14,64711;72131102,0;-0,115163;-0,350836;-87,843557;-0,667201;-15,161562;-0,115157;-0,17224;1,0;-0,350836;-0,350836;-0,17224;-0,336934;0,600804;1,377106;0,697689;1,433304;0,726161;-0,17224;3591,8382;2684,9911;0,554648;1,802947
333956#16863496;0x01ec1ed98bd8bc8ee5897ba9ec9d8aef9494d1ac;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;2524,069356;2840,312553;2397,351466;333956;0;3.439008844810281241;0;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3,5747975507932324e+18;3,439009;0,0;2397,351466;1679249999;699,5797;1821,499;2844,518431;2676,286822;2405,860776;0,078684;0,039578;-152,217466;-278,935355;-270,426046;14013144,0;-0,098061;-0,116351;-316,243197;-0,111341;-278,935355;-0,098206;-0,24313;1,0;-0,106319;-0,106319;-0,24313;-0,063494;126,717889;0,431729;0,313504;3,189748;2,31627;-0,22364;878,3661;1327,8717;0,580616;1,722309
35099#13077992;0xcde850e02a5d1ebedb5e1d2b177af8770354fdb7;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;5505,746037;5151,557335;5458,752735;35099;0;1.152954324695221141;0.342679814034326522;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1,7543674829057482e+18;1,152954;0,34268;5458,752735;1629672997;3781,8901;3206,789;5052,109367;5502,582366;5459,248404;0,006842;0,006588;3,163672;-43,82963;-43,333961;6885086,0;-0,008676;-0,008029;354,188703;0,068754;-43,82963;-0,008508;-0,036276;1,0;-0,006962;-0,006962;-0,036276;0,00058;46,993302;0,802528;0,067215;14,877723;1,246063;-0,031513;3627,3577;2625,5721;0,853635;1,171461
