id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper;IL_formula_annualized;average_mint_price0;average_mint_price1;priceQuotient0;priceQuotient1
10975#12442704;0xc0b65971f8c4d63c17c0b4504f9823df9582f7ff;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;19136,512918;19201,83405;19136,512918;10975;0;0;4.999999999999998218;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1194809303288645,0;0,0;5,0;19136,512918;1621130248;1,0;3827,8815;19357,7955;19139,4075;19139,4075;0,0;0,0;-2,894582;-2,894582;0,0;607771,0;-0,00015;-0,000151;-65,321132;-0,003402;-2,894582;-0,000151;-0,007824;1,0;-0,000151;-0,000151;-0,007824;-0,000151;0,0;7,7e-05;5954,890256;0,000168;12989,921355;-0,007824;1,0;3871,5591;1,01141;0,988718
119141#17825352;0x5ac9007045e6dac34b637922d28b71d9304d2796;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;599,864362;643,088556;449,076972;119141;0;63.079459;0.207093473263630268;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;19508109814056,0;63,079459;0,207093;449,076972;1690955639;1,0;1863,8805;643,088559;510,331789;449,076945;86,71652;0,034375;89,532573;-61,254817;-61,254843;60735976,0;-0,095251;-0,136402;-43,224194;-0,067213;-61,254817;-0,095251;-0,073365;1,0;-0,120055;-0,120055;-0,073365;0,19937;150,78739;0,000158;1590,866394;0,000629;6323,101137;-0,064293;1,0;3191,4482;1,71226;0,584023
145558#15160281;0xc6a0bfbd8d069d9178ac4ebef2da5864b622c227;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;4968,605054;9945,784258;3387,935352;145558;0;0;2.498365828209399651;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1992493984584292,0;0,0;2,498366;3387,935352;1658062462;1,0;1354,8161;9921,38653;6655,957143;3384,826248;1173,318966;0,300393;-1687,352089;-3268,02179;-3271,130895;22977067,0;-0,329392;-0,964606;-4977,179204;-0,500431;-3268,02179;-0,328584;-0,989836;1,0;-0,455923;-0,455923;-0,989836;-0,498047;1580,669701;0,000227;3759,311287;0,000266;4411,557373;-0,566544;1,0;4031,8136;2,975912;0,336031
150411#14788449;0x99f689747338a193dc1dd367af9ff8e059d4e189;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;34473,645974;47161,643411;28212,775066;150411;0;0;13.93618514629363813;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1442531316990575,0;0,0;13,936185;28212,775066;1652734401;1,0;2026,485;47280,457002;38863,16819;28241,470156;3026,949628;1,056748;-4389,522216;-10650,393124;-10621,698034;16457480,0;-0,22526;-0,377503;-12687,997438;-0,269032;-10650,393124;-0,225827;-0,597047;1,0;-0,278812;-0,278812;-0,597047;-0,155586;6260,870907;0,000158;2022,363284;0,000494;6323,101137;-0,465677;1,0;4575,6296;2,257914;0,442887
1571#18653447;0xd2b13e3144034b95ed0560a6c4b27cada1ba23b4;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1137,17948;1304,487926;783,734731;1571;0;0;0.37768660197832077;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;94731403981610,0;0,0;0,377687;783,734731;1700972699;1,0;2078,3868;1291,949004;914,798058;784,978848;224,982835;0,061907;222,381422;-131,063327;-129,81921;80712670,0;-0,101446;-0,167229;-167,308447;-0,128256;-131,063327;-0,100471;-0,06905;1,0;-0,132369;-0,132369;-0,06905;0,283746;353,444749;0,000197;3077,894538;0,000325;5074,463339;-0,054003;1,0;3474,7913;1,671869;0,598133
157219#15118891;0x39dec866c627f1b08bf8ccfd64b0b377d29aa946;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;33,461752;83,516447;27,592662;157219;0;0;0.02398726856775065;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2208065898165,0;0,0;0,023987;27,592662;1657509363;1,0;1153,0003;83,516447;53,033848;27,657328;4,169321;0,001478;-19,572096;-25,441186;-25,37652;19942838,0;-0,304625;-0,922027;-50,054695;-0,599339;-25,441186;-0,304625;-0,982356;1,0;-0,480715;-0,480715;-0,982356;-0,709323;5,86909;0,00012;2104,893286;0,000475;8366,166501;-0,645467;1,0;4201,2602;3,643763;0,274442
169562#13999438;0x632d7ac9f4fc8ebf45d49a7e6a27138f96be378f;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;5844,486393;7432,592942;5677,872013;169562;0;1947.367464;1.528822231373060299;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;153662550384953,0;1947,367464;0,955441;5057,776116;1642107374;1,0;3255,4703;5668,695705;5151,803266;5057,776147;24,983647;0,01013;-34,885669;-94,027151;-94,027119;2001910,149181;-0,016587;-0,018591;-1588,106548;-0,213668;-536,499999;-0,072182;-0,256076;0,890787;-0,018006;-0,059332;-0,330321;-0,006897;59,141482;0,000127;1982,31979;0,000504;7878,982528;-0,249064;0,970325;3879,938475;1,228271;0,814153
169562#15008852;0x632d7ac9f4fc8ebf45d49a7e6a27138f96be378f;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;5844,486393;7432,592942;5677,872013;169562;0;1947.367464;1.528822231373060299;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;51220850128318,0;0,0;0,573382;620,095898;1655920782;1,0;1081,4716;1765,335736;1062,568746;620,095888;75,547936;0,029724;-334,999951;-442,472848;-442,472858;14360712,87583;-0,250645;-0,713556;-1588,106548;-0,213668;-536,499999;-0,072182;-0,935901;0,109213;-0,396405;-0,059332;-0,330321;-0,540239;107,472897;0,000127;1982,31979;0,000504;7878,982528;-0,670247;0,704306;2383,485687;3,129222;0,319568
170268#15138133;0xaf0d2e9e7a446c8f819fb0d4e509265e8f301c5d;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1619,414505;5829,834272;1612,712269;170268;0;0;1.449999999999999029;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1203593685951593,0;0,0;1,45;1612,712269;1657767280;1,0;1111,9383;5829,83433;1612,310535;1612,310535;5,267353;0,00129;7,10397;0,401734;0,0;17600774,0;6,9e-05;0,000249;-4210,419767;-0,722219;0,401734;6,9e-05;0,000447;1,0;0,000249;0,000249;0,000447;0,004405;6,702236;0,000209;4072,397012;0,000246;4778,963935;0,000447;1,0;4020,5754;3,615826;0,276562
179928#14765447;0x2767beb4eff722333675e0c1a837051597745ef9;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;8802,837732;12471,718646;8420,996336;179928;0;0;4.000495467881971435;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2578787636030860,0;0,0;4,000495;8420,996336;1652418868;1,0;2102,9782;12475,769834;8744,338578;8412,954758;233,884995;0,070288;58,499154;-323,342241;-331,38382;4754145,804867;-0,025918;-0,038397;-3668,880914;-0,294176;-323,342241;-0,025926;-0,228871;1,0;-0,001704;-0,001704;-0,228871;0,006947;381,841396;0,000271;3077,894538;0,000325;3684,875621;-0,011255;0,680691;2096,421054;1,464515;0,68282
