id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
100030#12939546;0xd7c9f3010efdff665ee72580ffa7b4141e56b17e;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;951354.161;919685.6281;946302.5128;100030;0;913948.251443;12.472520768181174492;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.8088538657088896e+17;913948.2514;12.4725;946302.5128;1627819983.0;1.0;2597.1676;920106.7206;971611.1284;946341.4783;3184.9418;0.7196;-20256.9675;-25308.6156;-25269.6502;180859.0;-0.0275;-0.0267;31668.5329;0.0344;-25308.6156;-0.0275;-0.9912;1.0;1.0285;-0.0019;-0.0019;-0.9912;5051.6482;0.0004;2612.3599;0.0005;2104.8933
10038#16839626;0xd2dd7245c974a121135ed2975bd594297f6c358c;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;17.0675;23.1676;10.9791;10038;0;0;0.006603190727795831;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;16338467085711.002;0.0;0.0066;10.9791;1678960163.0;1.0;1662.6965;23.1594;17.5552;10.9791;4.1209;0.0012;-0.4877;-6.5761;-6.5761;58516793.0;-0.2839;-0.599;-6.1001;-0.2633;-6.5761;-0.2838;-0.3891;1.0;0.4741;-0.3529;-0.3529;-0.3891;6.0884;0.0003;3611.9138;0.0003;3442.6453
101078#12937743;0xcd2fc97464e7cf0c9684df73b3c0d90aae783571;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;90746.3676;88333.1423;90673.7424;101078;0;48181.461201;16.44956970242753973;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1524285780213561.0;24437.3143;8.0906;45526.9687;1627795005.0;1.0;2613.5538;44166.5715;45666.1618;45582.6068;23.9204;0.0037;-105.676;-139.193;-83.555;52150.0;-0.0032;-0.0031;2413.2253;0.0273;-148.2711;-0.0017;-0.8432;0.5021;1.0321;-0.0004;-0.0002;-0.4448;33.517;0.0002;4904.84;0.0008;1226.656
101078#12943892;0xcd2fc97464e7cf0c9684df73b3c0d90aae783571;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;90746.3676;88333.1423;90673.7424;101078;0;48181.461201;16.44956970242753973;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;335342871646983.0;5234.147;1.8349;9938.0779;1627875403.0;1.0;2563.5994;9716.6457;9947.1559;9938.079;18.3866;0.0078;29.3944;-9.078;-9.0769;132548.0;-0.0009;-0.0009;2413.2253;0.0273;-148.2711;-0.0017;-0.1955;0.1096;1.0228;-0.0002;-0.0002;-0.4448;38.4724;0.0002;4904.84;0.0008;1226.656
101736#19536475;0xd239ab0613eea4b09c87b94089f709bd5f61e8d9;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;2574.9113;1756.8562;1785.8814;101736;0;1785.881417;0;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1161227933841289.0;1785.8814;0.0;2533.4331;1711676747.0;1.0;3572.5898;1758.5881;2247.7953;1785.8814;417.2021;0.1576;327.116;-461.9138;-461.9138;83870980.0;-0.2627;-0.1823;818.055;0.4656;-461.9138;-0.2629;-0.0729;1.4186;1.0155;-0.002;-0.0028;-0.1035;789.0298;0.0004;2708.1132;0.0004;2550.4127
10184#16070483;0x63be47625c7acd531d0e0bd35abfbd4573013295;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;48.8276;89.6322;29.7567;10184;0;0;0.025442151737188203;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;251814692584745.97;0.0;0.0254;29.7567;1669662575.0;1.0;1169.9097;90.0035;66.0237;29.765;14.2791;0.0041;-17.1961;-36.267;-36.2587;49215611.0;-0.403;-1.2188;-40.8047;-0.4552;-36.267;-0.4046;;1.0;0.3307;-0.5022;-0.5022;0.0;19.0708;0.0003;3547.4842;0.0003;3505.1709
101940#12967442;0x41ebc438c635ea64bc14ccefa8b6434ac2ed6229;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;96269.9243;95556.4768;94579.5251;101940;0;46901.226719;19.9999999999999996;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.5977128524916792e+16;46901.2267;0.0;46901.2267;1628199667.0;1.0;2819.5265;45530.2928;48328.0557;46901.2267;816.3024;0.2744;166.5762;-1426.829;-1426.829;376576.639;-0.0313;-0.0304;713.4475;0.0075;-1772.9566;-0.0186;-0.9249;0.4959;1.0301;-0.0039;-0.0075;-0.9485;1593.4052;0.0004;2807.3764;0.0004;2504.9182
101940#14742068;0x41ebc438c635ea64bc14ccefa8b6434ac2ed6229;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;96269.9243;95556.4768;94579.5251;101940;0;46901.226719;19.9999999999999996;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.8067231730576988e+16;0.0;20.0;47678.2983;1652094304.0;1.0;2401.2213;50465.166;48024.426;48024.426;49.9376;0.0197;-249.1336;-346.1277;0.0;64501.0;-0.0069;-0.0073;713.4475;0.0075;-1772.9566;-0.0186;-0.9717;0.5041;0.9516;-0.0109;-0.0075;-0.9485;96.994;0.0004;2807.3764;0.0004;2504.9182
101959#12972943;0x41ebc438c635ea64bc14ccefa8b6434ac2ed6229;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;161213.6091;158533.834;159629.1958;101959;0;109511.15387;19.999999999999999679;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.959566875960424e+16;55401.8086;0.0;55401.8086;1628273494.0;1.0;2918.8317;51835.1441;58958.2647;55401.8086;817.1392;0.2407;-2035.5828;-3556.456;-3556.456;414742.3782;-0.0686;-0.0642;2679.7752;0.0169;-3900.4715;-0.0246;-0.9936;0.3471;1.0688;-0.02;-0.007;-0.633;1520.8733;0.0003;2892.8694;0.0004;2596.7334
101959#14669982;0x41ebc438c635ea64bc14ccefa8b6434ac2ed6229;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;161213.6091;158533.834;159629.1958;101959;0;109511.15387;19.999999999999999679;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.913852331979316e+16;54109.3452;0.0;54109.3452;1651109620.0;1.0;2879.5357;54107.931;54106.2366;54109.3452;32.8674;0.0106;66.6486;3.1086;3.1086;31356.0;0.0001;0.0001;2679.7752;0.0169;-3900.4715;-0.0246;0.0595;0.339;1.0;-0.0;-0.007;-0.633;63.54;0.0003;2892.8694;0.0004;2596.7334
