id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
100625#16888931;0x823f2d91f709a7d74ecdffa4850a96527229d77f;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;1645.0062;2199.0177;1505.6905;100625;0;0.02972355;0.388895123290883365;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3694334122145.0;0.0297;0.3889;1505.6905;1679558555;27716.4218;1757.0213;2199.0177;1510.8553;1507.1275;0.0026;0.0381;134.1504;-5.1648;-3.7278;51854572.0;-0.0023;-0.0034;-554.0114;-0.2519;-5.1648;-0.0023;-0.0021;1.0;0.6854;-0.06;-0.06;-0.0021;0.0891;139.3152;8.524;0.1173;34.0838;0.0293
100654#12943035;0x51e750b78b744bf18271051d6428e6d281671976;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;1752219.8373;1770425.1373;1751614.7648;100654;0;24.40246049;309.655913941580554547;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2991452700979252.0;24.4025;309.6559;1751614.7648;1627867244;39747.633;2544.4261;1770425.1441;1763373.9088;1757836.6333;0.0123;0.0462;-11154.0715;-11759.144;-5537.2755;159880.0;-0.0066;-0.0067;-18205.3;-0.0103;-11759.144;-0.0066;-0.7354;1.0;0.9929;-0.0;-0.0;-0.7354;-0.0064;605.0725;8.524;0.1173;34.0838;0.0293
100832#16059147;0x48048b6abcaa82adaa4ebcee038d23674df23aea;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;127.6839;269.3156;117.5093;100832;0;0.00454177;0.034917598184166498;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;454287607579.0;0.0045;0.0349;117.5093;1669525895;16494.5491;1218.3429;269.3156;120.0257;117.4561;0.0003;0.0043;7.6582;-2.5164;-2.5696;41800782.0;-0.0093;-0.0214;-141.6318;-0.5259;-2.5164;-0.0093;-0.0162;1.0;0.4361;-0.2669;-0.2669;-0.0162;0.0652;10.1746;8.4731;0.118;33.8799;0.0295
100935#14779787;0x5a3ffcf5a71272615b07d8da1e28694fdc780930;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;4964.369;6167.1487;4793.3576;100935;0;0.09196413;0.972055471250803496;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;8549781131507.0;0.092;0.9721;4793.3576;1652615205;30182.3774;2075.665;6167.1487;4830.5203;4793.3576;0.0029;0.0401;133.8487;-37.1627;-37.1627;24883050.0;-0.006;-0.0078;-1202.7797;-0.195;-37.1627;-0.006;-0.0098;1.0;0.7772;-0.0221;-0.0221;-0.0098;0.0279;171.0114;7.1628;0.1396;41.7964;0.0239
102003#16018082;0xd9eea293c6f32043753e75b91861c358d9813ae7;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;999.8528;2246.0702;915.8997;102003;0;0.03267613;0.348934566578567726;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3700333902650.0;0.0327;0.3489;915.8997;1669030007;15993.6385;1122.6007;2244.718;919.9609;914.3244;0.0024;0.0349;79.8919;-4.0612;-5.6365;41202690.0;-0.0018;-0.0044;-1246.2174;-0.5548;-4.0612;-0.0018;-0.0034;1.0;0.4073;-0.3013;-0.3013;-0.0034;0.0872;83.9531;8.0277;0.1246;32.099;0.0312
102066#16485674;0x60d28ba9de83ea770227fa7afd6328c92ea889f9;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;10636.519;17437.9863;9956.1627;102066;0;0.24628801;2.836836605545732459;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;28823671526297.996;0.2463;2.8368;9956.1627;1674671903;22599.3034;1550.7191;17362.2858;10002.7497;9965.0742;0.0195;0.2835;633.7692;-46.587;-37.6755;46837618.0;-0.0027;-0.0047;-6801.4673;-0.39;-46.587;-0.0027;-0.0032;1.0;0.5739;-0.1275;-0.1275;-0.0032;0.0637;680.3563;8.0277;0.1246;32.099;0.0312
102328#19443052;0x3b9d92d025c1fca5ebd92328c4a2ef998a743d3b;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;6660.3264;3988.8872;6161.5255;102328;0;0.035526;1.029125136091507055;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;6754703993604.0;0.0355;1.0291;6161.5255;1710538463;68037.57;3658.3379;3952.4562;6265.7197;6181.9902;0.0059;0.0899;394.6067;-104.1942;-83.7295;82673804.0;-0.0264;-0.0169;2671.4392;0.6697;-104.1942;-0.0261;-0.0065;1.0;1.5641;-0.0837;-0.0837;-0.0065;0.064;498.8009;7.7904;0.1284;31.1504;0.0321
102365#16552729;0x296fdd14fa55a00f4d4e809c044920f4bf939b63;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;364.0677;469.1166;291.3789;102365;0;0.00787399;0.064923202412833608;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2730767291679.0;0.0079;0.0649;291.3789;1675481171;23346.6384;1656.5439;470.891;295.9818;291.3793;0.0016;0.022;68.0859;-4.603;-4.6025;47613881.0;-0.0098;-0.0158;-105.0489;-0.2239;-4.603;-0.0098;-0.0105;1.0;0.6188;-0.1995;-0.1995;-0.0105;0.2337;72.6889;12.365;0.0809;17.7228;0.0564
102380#12959878;0x51e750b78b744bf18271051d6428e6d281671976;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;1827667.1675;1758824.8111;1826551.3819;102380;0;24.42378093;312.076801269672278546;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2992421662448022.0;24.4238;312.0768;1826551.3819;1628096416;39302.2114;2677.3904;1762443.1374;1798460.5102;1795460.0331;0.0177;0.1686;29206.6573;28090.8717;-3000.4771;228220.1456;0.0159;0.0154;68842.3564;0.0391;28090.8717;0.016;7.2515;1.0;1.0187;-0.0001;-0.0001;7.2515;0.016;1115.7856;7.8373;0.1276;31.3378;0.0319
102555#14998382;0xbd70a39ebe1123e891e4dcdb8e5e3eb905a9f9c7;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;4524.2644;8756.0563;3951.315;102555;0;0.01099138;3.371131528934377277;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;45512632939274.0;0.011;3.3711;3951.315;1655755012;20136.9166;1106.4028;8759.4202;4088.0891;3951.1619;0.0157;0.2323;436.1749;-136.7741;-136.9273;27871808.0;-0.0156;-0.0346;-4231.7919;-0.4833;-136.7741;-0.0156;-0.0391;1.0;0.4511;-0.3454;-0.3454;-0.0391;0.1104;572.949;12.4394;0.0804;18.5942;0.0538
