id,owner,pool_id,position_amountCollectedUSD,position_amountDepositedUSD,position_amountWithdrawnUSD,position_id,position_liquidity,position_withdrawnToken0,position_withdrawnToken1,position_token0.id,position_token1.id,event_amount,event_amount0,event_amount1,event_amountUSD,event_timestamp,price_0,price_1,initialValue,HODLValue,finalValue,event_fees0,event_fees1,lossVersusHODLFees,lossVersusHODLExact,lossVersusHODLEst,weightedDurationSeconds,IL_initial,IL_final,absolute_return,relative_return,IL_total_abs,IL_total_rel,IL_annualized,relativeBurnSize,priceQuotient,IL_formula,IL_formula_total,IL_annualized_total,event_feesUSD,price0_lower,price1_lower,price0_upper,price1_upper
118525#13439661,0x6615d7f48beddb737953ec447f67d555c64500bc,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,5692.97339878677,6590.71760526058,5621.2068961944715,118525,0,1.694211151561761934,0.181804212117079321,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4.4833889936580186e+17,0.5366594367818007,0.06174503015390037,1604.9178541091228,1634530956,2545.1393,3852.1365,2109.0296129824187,1719.1248667737714,1603.7233076186667,0.004577674991940063,0.000457704387971849,-100.79305236091821,-114.20701266464857,-115.40155915510468,4444392.0,-0.05415145048776545,-0.07116065932735478,-897.7442064738098,-0.1362134232177158,-328.225793676128,-0.049801222466904764,-0.4079466575372519,0.2855112583021351,0.7604081506237417,-0.010150849188506261,-0.003369204903832706,-0.249553963269998,13.41396030373036,0.47713156788569977,2.095857971484203,9892.577729672214,0.00010108588755391408
118525#13718995,0x6615d7f48beddb737953ec447f67d555c64500bc,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,5692.97339878677,6590.71760526058,5621.2068961944715,118525,0,1.694211151561761934,0.181804212117079321,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,0.0,0.0,1634530956,2545.1393,3852.1365,0.0,0.0,0.0,0.008911924125736225,0.006063867396294164,0.0,0.0,0.0,0.0,0.0,0.0,-897.7442064738098,-0.1362134232177158,-328.225793676128,-0.049801222466904764,0.0,0.0,0.0,0.0,-0.003369204903832706,-0.249553963269998,46.04093325945412,0.47713156788569977,2.095857971484203,9892.577729672214,0.00010108588755391408
118525#13859516,0x6615d7f48beddb737953ec447f67d555c64500bc,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,5692.97339878677,6590.71760526058,5621.2068961944715,118525,0,1.694211151561761934,0.181804212117079321,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7.621761289218632e+17,0.9146190368258784,0.10339323671588938,3358.1142723599646,1638332833,3097.0214,4740.7284,3585.3503420701118,3572.133053371444,3322.753983564073,0.0004032317089111021,0.00016092778091099727,-212.0070488785094,-214.0187810114794,-249.3790698073708,8246269.0,-0.059692571322865234,-0.06373183389649052,-897.7442064738098,-0.1362134232177158,-328.225793676128,-0.049801222466904764,-0.22276597055006686,0.5974009379788868,0.9267585219149266,-0.0007884540335350518,-0.003369204903832706,-0.249553963269998,2.0117321329699966,0.47713156788569977,2.095857971484203,9892.577729672214,0.00010108588755391408
12020#14778891,0x234fa8beab7f87be4670addf1277a5ced68071a2,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,3487.2215970408547,34833.670327132895,2319.5311289132896,12020,0,0.725475795226987166,0.573182952213991169,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6.452139614504649e+17,0.7254757952269871,0.5731829522139912,2319.5311289132896,1652603382,1584.8273,2021.4274,34835.960173964835,10355.143398791259,2308.4015705831916,0.7009632214296828,0.02481710831568025,-6874.540637522179,-8035.612269877969,-8046.741828208067,31967361.999999996,-0.2306700383669488,-3.4643261173402267,-31346.44873009204,-0.8998893437214234,-8035.612269877969,-0.2306852018295302,,1.0,0.06626490439923081,-0.517206421779031,-0.517206421779031,0.0,1161.0716323557901,9.962087170327432e-07,1003805.7114964315,11196231407.201595,8.93157673890863e-11
145983#13543677,0x00e286b5256aa6cf252d5a8a5a7b8c20ec3bc4d5,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,1191056.80916268,1059199.171175374,1154473.832944159,145983,0,0,252.4059724170285136,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2.4808814429702156e+21,0.0,252.40597241702852,1154473.832944159,1635939579,3162.0421,4573.9752,1059183.0703748777,1154498.6581673725,1154498.6581673725,6.3904546542094405,3.643052360961678,36845.292582877824,-24.82522321352735,0.0,755432.0,-2.3438085358313874e-05,-2.1503495796191104e-05,131857.6379873061,0.12448804868397517,-24.82522321352735,-2.3437729077883677e-05,-0.0008978985664742645,1.0,1.0899897198685018,-0.013718401170983658,-0.013718401170983658,-0.0008978985664742645,36870.11780609135,0.4584238882965134,2.1813871954098287,0.6065458221578681,1.648680055931085
148275#14236724,0xe60ea59214b882e7c3f462a79928fd8294c4eabb,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,27486.567896497407,36699.867416512025,26397.262673233305,148275,0,8.978189649810839806,3.580257016438667512,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2.396270550468281e+19,8.97818964981084,3.5802570164386673,26397.262673233305,1645276852,1854.32,2737.9654,36375.43059323059,26860.458725375873,26451.05646555354,0.27360693511525097,0.21372132296683508,629.3203473057638,-463.1960521425681,-409.40225982233096,9473431.0,-0.012733761349034537,-0.017547124407419963,-9213.299520014618,-0.2510444905822566,-463.1960521425681,-0.0126211914306308,-0.057266224590489134,1.0,0.7271682021126656,-0.05063113788516341,-0.05063113788516341,-0.057266224590489134,1092.5163994483319,0.4584238882965134,2.1813871954098287,1.4333036165828548,0.6976888835207883
202309#14647764,0x9866a4cbb3421fff83f18a046af9d49678d4db59,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,10770.412761954442,10287.787528426417,10051.639001330968,202309,0,5.722909424489841371,0,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2.390189062672077e+20,5.722909424489841,0.0,10051.639001330968,1650807422,1756.3862,2936.7612,10261.517855950115,10284.027477241912,10051.639137023898,0.19405501415821022,0.12878503788562007,486.6579754003599,-232.38847591094418,-232.3883402180145,3804508.0,-0.022646598600049632,-0.023119461003342133,482.6252335280242,0.046912441785415135,-232.38847591094418,-0.022588770935327577,-0.1763607913929498,1.0,0.9795470103085657,-0.00535924288663037,-0.00535924288663037,-0.1763607913929498,719.046451311304,0.6838744018364213,1.4622568081429579,0.7117824221543485,1.4049237082496429
217068#14531513,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,3183002.6862618267,8156357.959228769,2880725.891840281,217068,0,3951.886750983597412597,0,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,0.0,0.0,1649236695,2259.5886,3344.4935,0.0,0.0,0.0,3.4019163753098036,2.3352741690635055,0.0,0.0,0.0,0.0,0.0,0.0,-4973355.272966942,-0.6097519625582006,-129343.36287699826,-0.015857980182275917,0.0,0.0,0.0,0.0,-0.37920920510626743,-0.10781907373901245,15497.24073895415,0.6065458221578681,1.648680055931085,2.1813871954098287,0.4584238882965134
217068#14583489,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,3183002.6862618267,8156357.959228769,2880725.891840281,217068,0,3951.886750983597412597,0,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,0.0,0.0,1649938687,1875.7661,3081.8216,0.0,0.0,0.0,3.480788102156522,0.8301645127183015,0.0,0.0,0.0,0.0,0.0,0.0,-4973355.272966942,-0.6097519625582006,-129343.36287699826,-0.015857980182275917,0.0,0.0,0.0,0.0,-0.37920920510626743,-0.10781907373901245,9087.563250157278,0.6065458221578681,1.648680055931085,2.1813871954098287,0.4584238882965134
217068#14596298,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,3183002.6862618267,8156357.959228769,2880725.891840281,217068,0,3951.886750983597412597,0,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,0.0,0.0,1650111531,1890.703,3037.6325,0.0,0.0,0.0,2.429478834855492,1.881370977941745,0.0,0.0,0.0,0.0,0.0,0.0,-4973355.272966942,-0.6097519625582006,-129343.36287699826,-0.015857980182275917,0.0,0.0,0.0,0.0,-0.37920920510626743,-0.10781907373901245,10308.336548650412,0.6065458221578681,1.648680055931085,2.1813871954098287,0.4584238882965134
