id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
12020#14778891;0x234fa8beab7f87be4670addf1277a5ced68071a2;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;3487.2216;34833.6703;2319.5311;12020;0;0.725475795226987166;0.573182952213991169;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;6.452139614504649e+17;0.7255;0.5732;2319.5311;1652603382;1584.8273;2021.4274;34835.9602;10355.1434;2308.4016;0.701;0.0248;-6867.9218;-8035.6123;-8046.7418;31967362.0;-0.2307;-3.4643;-31346.4487;-0.8999;-8035.6123;-0.2307;;1.0;0.0663;-0.5172;-0.5172;0.0;1167.6905;0.0;1003805.7115;11196231407.2016;0.0
217068#15495496;0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;3183002.6863;8156357.9592;2880725.8918;217068;0;3951.886750983597412597;0;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;6.511173042152865e+21;3951.8868;0.0;3183002.6863;1662625285;728.9495;1620.623;0.0;0.0;0.0;121.7676;82.5153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;302276.7944;0.6065;1.6487;2.1814;0.4584
229193#15593433;0xcde850e02a5d1ebedb5e1d2b177af8770354fdb7;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;1840.6582;1748.3475;856.0709;229193;0;0.277019724926056539;0.471873851114317223;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3.3696301300721984e+17;0.1753;0.2149;1375.1875;1663904603;662.2053;1341.2882;875.416;406.5098;404.3475;0.7184;0.0097;980.3341;-2.2451;-2.1623;12376498.0;-0.0026;-0.0016;92.3107;0.0528;-2.2451;-0.0013;-0.0042;1.6064;0.4619;-0.0906;-0.1456;-0.0067;982.5792;0.003;330.2038;1.1735;0.8522
229193#15714126;0xcde850e02a5d1ebedb5e1d2b177af8770354fdb7;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;1840.6582;1748.3475;856.0709;229193;0;0.277019724926056539;0.471873851114317223;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;0.0;0.0;0.0;1663904603;662.2053;1341.2882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;92.3107;0.0528;-2.2451;-0.0013;;0.0;;;-0.1456;-0.0067;0.0;0.003;330.2038;1.1735;0.8522
229193#15852725;0x09ef51b568a7498f7e62325362197377b4838f8c;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;1840.6582;1748.3475;856.0709;229193;0;0.277019724926056539;0.471873851114317223;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;0.0;0.0;0.0;1665361787;908.9455;1330.1113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;92.3107;0.0528;-2.2451;-0.0013;;0.0;;;-0.1456;-0.0067;0.0;0.003;330.2038;1.1735;0.8522
238989#14777195;0xe34bb624055b171d777eccbbfc3baaeeffbe432c;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;2254.9436;2251.1084;2251.6158;238989;0;1.352517191617234897;0.09349266892057223;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3.9505613456590484e+18;1.3525;0.0935;2251.6158;1652579523;1525.527;2037.5696;2229.5398;2254.6648;2253.7993;0.001;0.0009;0.2788;-3.0491;-0.8655;32856.8721;-0.0014;-0.0014;3.8352;0.0017;-3.0491;-0.0014;-0.7279;1.0;1.0109;-0.0001;-0.0001;-0.7279;3.3279;0.7118;1.4049;1.5219;0.6571
262125#15279273;0x5682cddb3bbb1731ceb8c4cd761eac9f31b84d27;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;11347.9213;8517.3834;11299.5007;262125;0;5.735576126900136493;3.262040110508549385;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;7.803464653623303e+18;5.7356;3.262;11299.5007;1659661782;1069.0056;1644.4828;8502.4156;11662.8065;11495.7319;0.028;0.0118;-314.8851;-363.3058;-167.0746;2995370.0;-0.0427;-0.0322;2830.5379;0.3323;-363.3058;-0.0427;-0.2913;1.0;1.3521;-0.0202;-0.0202;-0.2913;48.4206;0.1526;6.5529;3.9746;0.2516
32870#18140107;0x90d2cd53afdd5a8f4d476c7f7b23314111bb39b6;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;43.8163;131.6599;43.2155;32870;0;0.036134125978203862;0;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2.141550922636912e+18;0.0361;0.0;43.2155;1694762531;1210.2126;1631.0626;131.6526;58.3771;43.73;0.0003;0.0002;-14.5608;-15.1616;-14.6471;72131102.0;-0.1152;-0.3508;-87.8436;-0.6672;-15.1616;-0.1152;-0.1722;1.0;0.3322;-0.4988;-0.4988;-0.1722;0.6008;1.3771;0.7262;1.4333;0.6977
333956#16863496;0x01ec1ed98bd8bc8ee5897ba9ec9d8aef9494d1ac;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;2524.0694;2840.3126;2397.3515;333956;0;3.439008844810281241;0;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3.5747975507932324e+18;3.439;0.0;2397.3515;1679249999;699.5797;1821.499;2844.5184;2676.2868;2405.8608;0.0787;0.0396;-152.2175;-278.9354;-270.426;14013144.0;-0.0981;-0.1164;-316.2432;-0.1113;-278.9354;-0.0982;-0.2431;1.0;0.8458;-0.0089;-0.0089;-0.2431;126.7179;0.4317;2.3163;3.1897;0.3135
35099#13077992;0xcde850e02a5d1ebedb5e1d2b177af8770354fdb7;0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316;5505.746;5151.5573;5458.7527;35099;0;1.152954324695221141;0.342679814034326522;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1.7543674829057482e+18;1.153;0.3427;5458.7527;1629672997;3781.8901;3206.789;5052.1094;5502.5824;5459.2484;0.0068;0.0066;3.1637;-43.8296;-43.334;6885086.0;-0.0087;-0.008;354.1887;0.0688;-43.8296;-0.0085;-0.0363;1.0;1.0806;-0.0014;-0.0014;-0.0363;46.9933;0.8025;1.2461;14.8777;0.0672
