blockNumber,collectedFeesToken0,collectedFeesToken1,depositedToken0,depositedToken1,feeGrowthInside0LastX128,feeGrowthInside1LastX128,id,liquidity,owner,withdrawnToken0,withdrawnToken1,position_amountCollectedUSD,position_amountDepositedUSD,position_amountWithdrawnUSD,position_collectedFeesToken0,position_collectedFeesToken1,position_collectedToken0,position_collectedToken1,position_depositedToken0,position_depositedToken1,position_feeGrowthInside0LastX128,position_feeGrowthInside1LastX128,position_id,position_liquidity,position_owner,position_tickLower,position_tickUpper,position_withdrawnToken0,position_withdrawnToken1,pool_feeGrowthGlobal0X128,pool_feeGrowthGlobal1X128,transaction_blockNumber,burns_amount,burns_amount0,burns_amount1,burns_amountUSD,burns_id,collects_amount0,collects_amount1,collects_amountUSD,collects_id,mints_amount,mints_amount0,mints_amount1,mints_amountUSD,mints_id,mints_timestamp
13108894,0,0,1.280360074496444885,0.548674862616162912,0,0,118525#13108894,1401059060518130830,0x6615d7f48beddb737953ec447f67d555c64500bc,0,0,5692.973398786770004255511867569272,6590.717605260579761322615303114228,5621.206896194471333835798837950307,0.013892830826587391,0.00668249956517701,1.708103982388349325,0.188486711682256331,1.280360074496444885,0.548674862616162912,5014978633838421862292660184147557000,2564384400558862024238137504904261776,118525,0,0x6615d7f48beddb737953ec447f67d555c64500bc,-7400,92000,1.694211151561761934,0.181804212117079321,402378228300133888759181257648283326210,34201774482616323600763590442168278179,13108894,,,,,,,,,,1401059060518130830,1.280360074496444885,0.548674862616162912,6590.717605260579761322615303114228,0xb51b856b61996acfa9bdc79362004bbc57ce2efae9421180c89024bd3e10b7ce#140,1630086564
13439661,0.004577674991940063,0.000457704387971849,1.280360074496444885,0.548674862616162912,1111803295912517192611487379871327663,111165001446521746910893225365355603,118525#13439661,952720161152328965,0x6615d7f48beddb737953ec447f67d555c64500bc,0.536659436781800697,0.061745030153900368,5692.973398786770004255511867569272,6590.717605260579761322615303114228,5621.206896194471333835798837950307,0.013892830826587391,0.00668249956517701,1.708103982388349325,0.188486711682256331,1.280360074496444885,0.548674862616162912,5014978633838421862292660184147557000,2564384400558862024238137504904261776,118525,0,0x6615d7f48beddb737953ec447f67d555c64500bc,-7400,92000,1.694211151561761934,0.181804212117079321,402378228300133888759181257648283326210,34201774482616323600763590442168278179,13439661,448338899365801865,0.536659436781800697,0.061745030153900368,1604.91785410912290038261552809297,0x0dd95e0b76fae36484aeb5aaa014499fc8e76f098c56dc0ce86b886281974f64#162,0.54123711177374076,0.062202734541872217,1618.342360116634178125220505065222,0x0dd95e0b76fae36484aeb5aaa014499fc8e76f098c56dc0ce86b886281974f64#164,,,,,,
13718995,0.013489599117676288,0.006521571784266013,1.280360074496444885,0.548674862616162912,4294868753095032803329262194163513377,2276992108337952797866946580894589421,118525#13718995,190544032230465793,0x6615d7f48beddb737953ec447f67d555c64500bc,1.451278473607679071,0.165138266869789741,5692.973398786770004255511867569272,6590.717605260579761322615303114228,5621.206896194471333835798837950307,0.013892830826587391,0.00668249956517701,1.708103982388349325,0.188486711682256331,1.280360074496444885,0.548674862616162912,5014978633838421862292660184147557000,2564384400558862024238137504904261776,118525,0,0x6615d7f48beddb737953ec447f67d555c64500bc,-7400,92000,1.694211151561761934,0.181804212117079321,402378228300133888759181257648283326210,34201774482616323600763590442168278179,13718995,0,0,0,0,0x0dd95e0b76fae36484aeb5aaa014499fc8e76f098c56dc0ce86b886281974f64#163,0.923530960951614599,0.109457104112183537,3414.836016229800310918534128637179,0xdb98bc2b4ff1568ada82a49e386e9c58ef87e3ef9e4c661ac23922e30b68f91d#290,,,,,,
13859516,0.013892830826587391,0.00668249956517701,1.280360074496444885,0.548674862616162912,5014978633838421862292660184147557000,2564384400558862024238137504904261776,118525#13859516,0,0x6615d7f48beddb737953ec447f67d555c64500bc,1.694211151561761934,0.181804212117079321,5692.973398786770004255511867569272,6590.717605260579761322615303114228,5621.206896194471333835798837950307,0.013892830826587391,0.00668249956517701,1.708103982388349325,0.188486711682256331,1.280360074496444885,0.548674862616162912,5014978633838421862292660184147557000,2564384400558862024238137504904261776,118525,0,0x6615d7f48beddb737953ec447f67d555c64500bc,-7400,92000,1.694211151561761934,0.181804212117079321,402378228300133888759181257648283326210,34201774482616323600763590442168278179,13859516,762176128921863172,0.914619036825878374,0.103393236715889373,3358.114272359964476069931378433905,0xdb98bc2b4ff1568ada82a49e386e9c58ef87e3ef9e4c661ac23922e30b68f91d#288,0.243335909662993966,0.016826873028200577,659.7950224403355152117572338668708,0x8a2029231054e0d17bbab0e7c315c41b8463857ebdefdf22c42284d32d94aae8#314,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0xdb98bc2b4ff1568ada82a49e386e9c58ef87e3ef9e4c661ac23922e30b68f91d#289,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190544032230465793,0.242932677954082863,0.01666594524728958,658.1747697253839573832519314234323,0x8a2029231054e0d17bbab0e7c315c41b8463857ebdefdf22c42284d32d94aae8#313,,,,,,,,,,
12405633,0,0,6.452454694096184194,0.063874194826129864,0,0,12020#12405633,645213961450464845,0x234fa8beab7f87be4670addf1277a5ced68071a2,0,0,3487.221597040854699996780609633796,34833.67032713289202038651905008914,2319.531128913289626165678961418279,0.700963221429682848,0.02481710831568025,1.426439016656670014,0.598000060529671419,6.452454694096184194,0.063874194826129864,369684226262563197415749269851595540780,13088409213602109255923444063792152904,12020,0,0x234fa8beab7f87be4670addf1277a5ced68071a2,-138200,231400,0.725475795226987166,0.573182952213991169,402378228300133888759181257648283326210,34201774482616323600763590442168278179,12405633,,,,,,,,,,645213961450464845,6.452454694096184194,0.063874194826129864,34833.67032713289202038651905008914,0xf2b185a3b112a58eb37b600fcdf7920d6053acb80eee41a69cc342ea35362b84#1,1620636020
14778891,0.700963221429682848,0.02481710831568025,6.452454694096184194,0.063874194826129864,369684226262563197415749269851595540780,13088409213602109255923444063792152904,12020#14778891,0,0x234fa8beab7f87be4670addf1277a5ced68071a2,0.725475795226987166,0.573182952213991169,3487.221597040854699996780609633796,34833.67032713289202038651905008914,2319.531128913289626165678961418279,0.700963221429682848,0.02481710831568025,1.426439016656670014,0.598000060529671419,6.452454694096184194,0.063874194826129864,369684226262563197415749269851595540780,13088409213602109255923444063792152904,12020,0,0x234fa8beab7f87be4670addf1277a5ced68071a2,-138200,231400,0.725475795226987166,0.573182952213991169,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14778891,645213961450464845,0.725475795226987166,0.573182952213991169,2319.531128913289626165678961418279,0xea20b5b8247749571a37069bfab5de6e38e78ddcdddf82619a317accebc7a514#967,1.426439016656670014,0.598000060529671419,3487.221597040854699996780609633796,0xea20b5b8247749571a37069bfab5de6e38e78ddcdddf82619a317accebc7a514#968,,,,,,
13488035,0,0,0,252.405972417028513601,115792089237316195423570985008687907853268239835155224169938878807462784013089,115792089237316195423570985008687907853269459806950004255807650944000744531683,145983#13488035,2480881442970215897766,0x00e286b5256aa6cf252d5a8a5a7b8c20ec3bc4d5,0,0,1191056.809162680155617113925259423,1059199.171175373927701585128549165,1154473.832944158877403090173548603,6.390454654209440776,3.643052360961677829,6.390454654209440776,256.049024777990191429,0,252.405972417028513601,115792089237316195423570985008687907853269116361940329967685085207293744958387,115792089237316195423570985008687907853269959494866860440525750467183295186508,145983,0,0x00e286b5256aa6cf252d5a8a5a7b8c20ec3bc4d5,-7800,-5000,0,252.4059724170285136,402378228300133888759181257648283326210,34201774482616323600763590442168278179,13488035,,,,,,,,,,2480881442970215897766,0,252.405972417028513601,1059199.171175373927701585128549165,0x7665efa6261f66edd136114a1f5ac749b690e30d704925eacc2c99108f0db62a#167,1635184147
13543677,6.390454654209440776,3.643052360961677829,0,252.405972417028513601,115792089237316195423570985008687907853269116361940329967685085207293744958387,115792089237316195423570985008687907853269959494866860440525750467183295186508,145983#13543677,0,0x00e286b5256aa6cf252d5a8a5a7b8c20ec3bc4d5,0,252.4059724170285136,1191056.809162680155617113925259423,1059199.171175373927701585128549165,1154473.832944158877403090173548603,6.390454654209440776,3.643052360961677829,6.390454654209440776,256.049024777990191429,0,252.405972417028513601,115792089237316195423570985008687907853269116361940329967685085207293744958387,115792089237316195423570985008687907853269959494866860440525750467183295186508,145983,0,0x00e286b5256aa6cf252d5a8a5a7b8c20ec3bc4d5,-7800,-5000,0,252.4059724170285136,402378228300133888759181257648283326210,34201774482616323600763590442168278179,13543677,2480881442970215897766,0,252.4059724170285136,1154473.832944158877403090173548603,0x47de18cb4ac83da5e8d0823678af015c71d335a0b7f92c0839503f9a1fe285a0#251,6.390454654209440776,256.049024777990191429,1191056.809162680155617113925259423,0x47de18cb4ac83da5e8d0823678af015c71d335a0b7f92c0839503f9a1fe285a0#252,,,,,,
13533689,0,0,11.7538136002418978,1.849960226004067515,927392458266455974136685585807953764,415343265855789926335887242383889346,148275#13533689,23962705504682809958,0xe60ea59214b882e7c3f462a79928fd8294c4eabb,0,0,27486.5678964974066470504910583117,36699.86741651202106614530037955202,26397.26267323330468355550371015366,0.273606935115250993,0.213721322966835082,9.251796584926090799,3.793978339405502594,11.7538136002418978,1.849960226004067515,4812747368162037775229232468495310268,3450292621904791871297442081433585545,148275,0,0xe60ea59214b882e7c3f462a79928fd8294c4eabb,-7800,3600,8.978189649810839806,3.580257016438667512,402378228300133888759181257648283326210,34201774482616323600763590442168278179,13533689,,,,,,,,,,23962705504682809958,11.7538136002418978,1.849960226004067515,36699.86741651202106614530037955202,0xd8104d46b50c940d60557ebeaecd4d38f440cb59751329fb8b544a308493c91a#238,1635803421
14236724,0.273606935115250993,0.213721322966835082,11.7538136002418978,1.849960226004067515,4812747368162037775229232468495310268,3450292621904791871297442081433585545,148275#14236724,0,0xe60ea59214b882e7c3f462a79928fd8294c4eabb,8.978189649810839806,3.580257016438667512,27486.5678964974066470504910583117,36699.86741651202106614530037955202,26397.26267323330468355550371015366,0.273606935115250993,0.213721322966835082,9.251796584926090799,3.793978339405502594,11.7538136002418978,1.849960226004067515,4812747368162037775229232468495310268,3450292621904791871297442081433585545,148275,0,0xe60ea59214b882e7c3f462a79928fd8294c4eabb,-7800,3600,8.978189649810839806,3.580257016438667512,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14236724,23962705504682809958,8.978189649810839806,3.580257016438667512,26397.26267323330468355550371015366,0xda26b837a5e9166a7b839e0f38fe18e1193b0e1c910b5415879defcd1642c998#362,9.251796584926090799,3.793978339405502594,27486.5678964974066470504910583117,0xda26b837a5e9166a7b839e0f38fe18e1193b0e1c910b5415879defcd1642c998#363,,,,,,
14365632,0,0,4.823091999999999999,0.617283845588641575,0,0,202309#14365632,239018906267207701814,0x9866a4cbb3421fff83f18a046af9d49678d4db59,0,0,10770.4127619544416605814330899312,10287.78752842641667734802644285101,10051.63900133096835632930020760201,0.194055014158210227,0.128785037885620055,5.916964438648051598,0.128785037885620055,4.823091999999999999,0.617283845588641575,276268938561750478612446172412749516,183346490033428277830858694153927353,202309,0,0x9866a4cbb3421fff83f18a046af9d49678d4db59,-3800,-3400,5.722909424489841371,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14365632,,,,,,,,,,239018906267207701814,4.823091999999999999,0.617283845588641575,10287.78752842641667734802644285101,0x43dc9f1d04ffd84d847f83309e0624a3088c5194e244f926c7d480c012cb7fbf#372,1647002914
14647764,0.194055014158210227,0.128785037885620055,4.823091999999999999,0.617283845588641575,276268938561750478612446172412749516,183346490033428277830858694153927353,202309#14647764,0,0x9866a4cbb3421fff83f18a046af9d49678d4db59,5.722909424489841371,0,10770.4127619544416605814330899312,10287.78752842641667734802644285101,10051.63900133096835632930020760201,0.194055014158210227,0.128785037885620055,5.916964438648051598,0.128785037885620055,4.823091999999999999,0.617283845588641575,276268938561750478612446172412749516,183346490033428277830858694153927353,202309,0,0x9866a4cbb3421fff83f18a046af9d49678d4db59,-3800,-3400,5.722909424489841371,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14647764,239018906267207701814,5.722909424489841371,0,10051.63900133096835632930020760201,0x7671baff503a5e8fb957baef62cff775513b2efad3f59d2a3265810d3e9db50b#556,5.916964438648051598,0.128785037885620055,10770.4127619544416605814330899312,0x7671baff503a5e8fb957baef62cff775513b2efad3f59d2a3265810d3e9db50b#557,,,,,,
14513665,0,0,2168.042068702352400429,159.942747634669812977,6033257372960651449453429564459860528,3714494197802038131304094443682924761,217068#14513665,3985264749898143806039,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0,0,3183002.686261826457076063180081661,8156357.959228768780897588549523267,2880725.891840281136429285814394026,121.767631480072941926,82.515334578466113355,4073.654382463670354523,82.515334578466113355,3550.185851950523876108,260.494299433533872755,13027838019179636720749404000273240974,8452966848670674035039274975138651677,217068,0,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,-5000,7800,3951.886750983597412597,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14513665,,,,,,,,,,3985264749898143806039,2168.042068702352400429,159.942747634669812977,5576903.103538057642343911261527629,0x24373f8abad03198784a31cd0be8623a08fed8ebd9ac7113f9acf56490645265#399,1648996251
14531513,3.40191637530980377,2.335274169063505635,2168.042068702352400429,159.942747634669812977,6323730460422935136508199416573593502,3913891896958303068910799874337344317,217068#14531513,3985264749898143806039,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0,0,3183002.686261826457076063180081661,8156357.959228768780897588549523267,2880725.891840281136429285814394026,121.767631480072941926,82.515334578466113355,4073.654382463670354523,82.515334578466113355,3550.185851950523876108,260.494299433533872755,13027838019179636720749404000273240974,8452966848670674035039274975138651677,217068,0,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,-5000,7800,3951.886750983597412597,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14531513,0,0,0,0,0x726e0abe014c01c5d80a0703839e5742247da0d0bbb9c43c2ab1fe6ff33da194#451,3.40191637530980377,2.335274169063505635,15548.14487960227960158869107137618,0x726e0abe014c01c5d80a0703839e5742247da0d0bbb9c43c2ab1fe6ff33da194#452,,,,,,
14532395,3.40191637530980377,2.335274169063505635,2176.549831441630387379,160.586723497305556885,6323730460422935136508199416573593502,3913891896958303068910799874337344317,217068#14532395,4000943890323057418038,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0,0,3183002.686261826457076063180081661,8156357.959228768780897588549523267,2880725.891840281136429285814394026,121.767631480072941926,82.515334578466113355,4073.654382463670354523,82.515334578466113355,3550.185851950523876108,260.494299433533872755,13027838019179636720749404000273240974,8452966848670674035039274975138651677,217068,0,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,-5000,7800,3951.886750983597412597,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14532395,,,,,,,,,,15679140424913611999,8.50776273927798695,0.643975862635743908,21114.54898058597349219338997941105,0xa922d5c25cac6ed1e704238e9a02b8d9bd512adbfe48e3c862cef0639fe8b41f#453,1649248688
14583489,6.882704477466325889,3.165438681781806985,2176.549831441630387379,160.586723497305556885,6619773305966671031900091525966219573,3984497822226288103811126115786229877,217068#14583489,4000943890323057418038,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0,0,3183002.686261826457076063180081661,8156357.959228768780897588549523267,2880725.891840281136429285814394026,121.767631480072941926,82.515334578466113355,4073.654382463670354523,82.515334578466113355,3550.185851950523876108,260.494299433533872755,13027838019179636720749404000273240974,8452966848670674035039274975138651677,217068,0,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,-5000,7800,3951.886750983597412597,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14583489,0,0,0,0,0xe11c8d7e79a41cf7272f8e35a449ca451a71dbf705284d41e1999f08cf5bacf6#494,3.480788102156522119,0.83016451271830135,9089.454210783751206819007236982231,0xe11c8d7e79a41cf7272f8e35a449ca451a71dbf705284d41e1999f08cf5bacf6#495,,,,,,
14583518,6.882704477466325889,3.165438681781806985,3004.722966659023188265,170.133082337806328243,6619773305966671031900091525966219573,3984497822226288103811126115786229877,217068#14583518,5391156191099331420290,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0,0,3183002.686261826457076063180081661,8156357.959228768780897588549523267,2880725.891840281136429285814394026,121.767631480072941926,82.515334578466113355,4073.654382463670354523,82.515334578466113355,3550.185851950523876108,260.494299433533872755,13027838019179636720749404000273240974,8452966848670674035039274975138651677,217068,0,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,-5000,7800,3951.886750983597412597,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14583518,,,,,,,,,,1390212300776274002252,828.173135217392800886,9.546358840500771358,1584094.751051359640806612530687819,0x3d7e2061a967fdef3ef82dca256605e34f1849e7f42bebc0a82557c3ac2ebcc1#496,1649939034
14596298,9.312183312321817234,5.046809659723551996,3004.722966659023188265,170.133082337806328243,6773118669930309598172036942557786178,4103247371810350996496350733561517644,217068#14596298,5391156191099331420290,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0,0,3183002.686261826457076063180081661,8156357.959228768780897588549523267,2880725.891840281136429285814394026,121.767631480072941926,82.515334578466113355,4073.654382463670354523,82.515334578466113355,3550.185851950523876108,260.494299433533872755,13027838019179636720749404000273240974,8452966848670674035039274975138651677,217068,0,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,-5000,7800,3951.886750983597412597,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14596298,0,0,0,0,0x96446ca533a8f1caf177e2310fa7e28c09d229a7b4630531bd7064ce42710d1d#532,2.429478834855491345,1.881370977941745011,10310.14490663570240691653517071746,0x96446ca533a8f1caf177e2310fa7e28c09d229a7b4630531bd7064ce42710d1d#533,,,,,,
14596349,9.312183312321817234,5.046809659723551996,3010.402488081484626139,170.25847231780332985,6773118669930309598172036942557786178,4103247371810350996496350733561517644,217068#14596349,5400848876490296902281,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0,0,3183002.686261826457076063180081661,8156357.959228768780897588549523267,2880725.891840281136429285814394026,121.767631480072941926,82.515334578466113355,4073.654382463670354523,82.515334578466113355,3550.185851950523876108,260.494299433533872755,13027838019179636720749404000273240974,8452966848670674035039274975138651677,217068,0,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,-5000,7800,3951.886750983597412597,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14596349,,,,,,,,,,9692685390965481991,5.679521422461437874,0.125389979997001607,11119.29766067075968171112689398085,0x2186cc06da7bdeb0cb76072a1fa00dd8824dcbf537f9a238fba6262787f69d6e#534,1650112245
14766258,34.504567236706019851,26.023019814082105592,3010.402488081484626139,170.25847231780332985,8360373604517786976871402445556314809,5424860807695752653718628848196768072,217068#14766258,5400848876490296902281,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0,0,3183002.686261826457076063180081661,8156357.959228768780897588549523267,2880725.891840281136429285814394026,121.767631480072941926,82.515334578466113355,4073.654382463670354523,82.515334578466113355,3550.185851950523876108,260.494299433533872755,13027838019179636720749404000273240974,8452966848670674035039274975138651677,217068,0,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,-5000,7800,3951.886750983597412597,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14766258,0,0,0,0,0x6f057670791c52eabf638d604421da9f7d358ccb0d3d0074e76209c9eb2103a4#804,25.192383924384202617,20.976210154358553596,81554.21152840177887269649036728953,0x6f057670791c52eabf638d604421da9f7d358ccb0d3d0074e76209c9eb2103a4#805,,,,,,
14766360,34.504567236706019851,26.023019814082105592,3298.153787032578377289,220.25847231780332985,8360373604517786976871402445556314809,5424860807695752653718628848196768072,217068#14766360,5997577310503442178713,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0,0,3183002.686261826457076063180081661,8156357.959228768780897588549523267,2880725.891840281136429285814394026,121.767631480072941926,82.515334578466113355,4073.654382463670354523,82.515334578466113355,3550.185851950523876108,260.494299433533872755,13027838019179636720749404000273240974,8452966848670674035039274975138651677,217068,0,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,-5000,7800,3951.886750983597412597,0,402378228300133888759181257648283326210,34201774482616323600763590442168278179,14766360,,,,,,,,,,596728434013145276432,287.75129895109375115,50,542422.0647007143462895143032966171,0xc10bb7636e19e6fb5775508deeb229a9c95e49dbe5d14616c9c40d347795195c#806,1652431020
