blockNumber,collectedFeesToken0,collectedFeesToken1,depositedToken0,depositedToken1,feeGrowthInside0LastX128,feeGrowthInside1LastX128,id,liquidity,owner,withdrawnToken0,withdrawnToken1,position_amountCollectedUSD,position_amountDepositedUSD,position_amountWithdrawnUSD,position_collectedFeesToken0,position_collectedFeesToken1,position_collectedToken0,position_collectedToken1,position_depositedToken0,position_depositedToken1,position_feeGrowthInside0LastX128,position_feeGrowthInside1LastX128,position_id,position_liquidity,position_owner,position_tickLower,position_tickUpper,position_withdrawnToken0,position_withdrawnToken1,pool_feeGrowthGlobal0X128,pool_feeGrowthGlobal1X128,transaction_blockNumber,burns_amount,burns_amount0,burns_amount1,burns_amountUSD,burns_id,collects_amount0,collects_amount1,collects_amountUSD,collects_id,mints_amount,mints_amount0,mints_amount1,mints_amountUSD,mints_id,mints_timestamp
12926985,0,0,0.51351418,9.99999990854764162,7690741973010077499427677870768,1204414416399273748779930468730128221709328,100109#12926985,308804553888434,0xe7c01ecf8eebb6b54f75d637861bbfcdec6e1cba,0,0,61509.04180725480586291418335341013,43314.44677081494843150957542571268,58142.90525866918496716169510714996,0.03173133,0.444557878256634991,1.20149548,0.444557878256634991,0.51351418,9.99999990854764162,11187326519891507557081176231413,1694288044043934068453852765665438914208428,100109,0,0xe7c01ecf8eebb6b54f75d637861bbfcdec6e1cba,256680,259740,1.16976415,0,40738901950759905516233559855891,6298862571616674089511042723272084572772106,12926985,,,,,,,,,,308804553888434,0.51351418,9.99999990854764162,43314.44677081494843150957542571268,0x307848b40293fee07b2b52123558d94c5b924b61427ceb27016c3913c13882e2#50138,1627648424
13878791,0.03173133,0.444557878256634991,0.51351418,9.99999990854764162,11187326519891507557081176231413,1694288044043934068453852765665438914208428,100109#13878791,0,0xe7c01ecf8eebb6b54f75d637861bbfcdec6e1cba,1.16976415,0,61509.04180725480586291418335341013,43314.44677081494843150957542571268,58142.90525866918496716169510714996,0.03173133,0.444557878256634991,1.20149548,0.444557878256634991,0.51351418,9.99999990854764162,11187326519891507557081176231413,1694288044043934068453852765665438914208428,100109,0,0xe7c01ecf8eebb6b54f75d637861bbfcdec6e1cba,256680,259740,1.16976415,0,40738901950759905516233559855891,6298862571616674089511042723272084572772106,13878791,308804553888434,1.16976415,0,58142.90525866918496716169510714996,0xd46c0075e324abae6857d93b57bbd2390127b1cea2954ecd6f2fa799dc9f3fcc#84733,1.20149548,0.444557878256634991,61509.04180725480586291418335341013,0xd46c0075e324abae6857d93b57bbd2390127b1cea2954ecd6f2fa799dc9f3fcc#84734,,,,,,
12927257,0,0,0.52,8.406818975142400331,9820880234745121835122654691128,1497737898820217257425519825135116216604229,100136#12927257,157448393482445,0xf56f295bb2942ce51a6c3c43f6c44df8a99c0b2c,0,0,42322.24889812393863300709558289034,39736.54122793217186079819215643293,42309.13952798940201576390876466172,0.0000967,0.003693333142767143,0.47938085,9.092644063912271025,0.52,8.406818975142400331,9841781283528136468583289912586,1505720045324547761025126209272949122401035,100136,0,0xf56f295bb2942ce51a6c3c43f6c44df8a99c0b2c,255540,261240,0.47928415,9.088950730769503882,40738901950759905516233559855891,6298862571616674089511042723272084572772106,12927257,,,,,,,,,,157448393482445,0.52,8.406818975142400331,39736.54122793217186079819215643293,0x30ea5a91105ecba36a40e0904631b63666b79ce703f9984dbfcfba8a7eb3f5ae#50167,1627652056
12932548,0.0000967,0.003693333142767143,0.52,8.406818975142400331,9841781283528136468583289912586,1505720045324547761025126209272949122401035,100136#12932548,0,0xf56f295bb2942ce51a6c3c43f6c44df8a99c0b2c,0.47928415,9.088950730769503882,42322.24889812393863300709558289034,39736.54122793217186079819215643293,42309.13952798940201576390876466172,0.0000967,0.003693333142767143,0.47938085,9.092644063912271025,0.52,8.406818975142400331,9841781283528136468583289912586,1505720045324547761025126209272949122401035,100136,0,0xf56f295bb2942ce51a6c3c43f6c44df8a99c0b2c,255540,261240,0.47928415,9.088950730769503882,40738901950759905516233559855891,6298862571616674089511042723272084572772106,12932548,157448393482445,0.47928415,9.088950730769503882,42309.13952798940201576390876466172,0xea3e060fc0854d90cbca0006cd058fe3ee7e87007101adabac838d07c648d6e1#50460,0.47938085,9.092644063912271025,42322.24889812393863300709558289034,0xea3e060fc0854d90cbca0006cd058fe3ee7e87007101adabac838d07c648d6e1#50461,,,,,,
12927886,0,0,0.02998207,0.497348091170801823,9871257236732582495903706408799,1495676607477626932512386070325027231386519,100201#12927886,4170109309684,0x751bc7170206e0e6f0f5dde35a49bda854a5e053,0,0,2453.228511874749559356427833367203,2332.62366523212132958448886478654,2452.943926442900987339696390244662,0.00000156,0.000090366852946446,0.02872269,0.518663595826522295,0.02998207,0.497348091170801823,9884012756323970328745399177429,1503050574040182944753429732367684172154041,100201,0,0x751bc7170206e0e6f0f5dde35a49bda854a5e053,251460,265320,0.02872113,0.518573228973575849,40738901950759905516233559855891,6298862571616674089511042723272084572772106,12927886,,,,,,,,,,4170109309684,0.02998207,0.497348091170801823,2332.62366523212132958448886478654,0x44a04d4ba2704fe3243a83e396bfe2287a7c2008da07e9df98b80a771ef8b6fe#50182,1627660315
12931917,0.00000156,0.000090366852946446,0.02998207,0.497348091170801823,9884012756323970328745399177429,1503050574040182944753429732367684172154041,100201#12931917,0,0x751bc7170206e0e6f0f5dde35a49bda854a5e053,0.02872113,0.518573228973575849,2453.228511874749559356427833367203,2332.62366523212132958448886478654,2452.943926442900987339696390244662,0.00000156,0.000090366852946446,0.02872269,0.518663595826522295,0.02998207,0.497348091170801823,9884012756323970328745399177429,1503050574040182944753429732367684172154041,100201,0,0x751bc7170206e0e6f0f5dde35a49bda854a5e053,251460,265320,0.02872113,0.518573228973575849,40738901950759905516233559855891,6298862571616674089511042723272084572772106,12931917,4170109309684,0.02872113,0.518573228973575849,2452.943926442900987339696390244662,0x1d953648891354b55ce4ed0fd8996c56c6701cb3ca4e5b6aebdd9e18e65ff6bf#50412,0.02872269,0.518663595826522295,2453.228511874749559356427833367203,0x1d953648891354b55ce4ed0fd8996c56c6701cb3ca4e5b6aebdd9e18e65ff6bf#50413,,,,,,
12928010,0,0,0.31866453,5.541986202478772953,4724745711711145985203803223744,771971329349793171070013045968089702775915,100214#12928010,302105381486536,0x09d364bb4745c37fdd2acc1f39b842e5089193ff,0,0,35046.80253989823608975558285993386,34972.66799087436859237976088410697,35046.43048604678397942186199631304,0,0.000158538071232641,0.43571448,7.68557914816193765,0.4388826,7.632733124417723733,4724745711711145985203803223744,772100987528321122375477720677745593131184,100214,0,0x09d364bb4745c37fdd2acc1f39b842e5089193ff,257460,259260,0.43571448,7.685420610090705009,40738901950759905516233559855891,6298862571616674089511042723272084572772106,12928010,,,,,,,,,,302105381486536,0.31866453,5.541986202478772953,25392.87635370876199995126475934789,0x1a556fd3733ebf4a14e16a78cdf216e1365d298dd598cb4be195e0c0abe3f60e#50185,1627661884
12928037,0,0,0.4388826,7.632733124417723733,4724745711711145985203803223744,771971329349793171070013045968089702775915,100214#12928037,416076415221997,0x09d364bb4745c37fdd2acc1f39b842e5089193ff,0,0,35046.80253989823608975558285993386,34972.66799087436859237976088410697,35046.43048604678397942186199631304,0,0.000158538071232641,0.43571448,7.68557914816193765,0.4388826,7.632733124417723733,4724745711711145985203803223744,772100987528321122375477720677745593131184,100214,0,0x09d364bb4745c37fdd2acc1f39b842e5089193ff,257460,259260,0.43571448,7.685420610090705009,40738901950759905516233559855891,6298862571616674089511042723272084572772106,12928037,,,,,,,,,,113971033735461,0.12021807,2.09074692193895078,9579.791637165606592428496124759083,0x14e63d38f19115149d1d751fedefc9a0bec47db3c3c07a7418fd2cf77e120d3b#50186,1627662180
12928623,0,0.000158538071232641,0.4388826,7.632733124417723733,4724745711711145985203803223744,772100987528321122375477720677745593131184,100214#12928623,208038207610999,0x09d364bb4745c37fdd2acc1f39b842e5089193ff,0.21785724,3.842710305045343269,35046.80253989823608975558285993386,34972.66799087436859237976088410697,35046.43048604678397942186199631304,0,0.000158538071232641,0.43571448,7.68557914816193765,0.4388826,7.632733124417723733,4724745711711145985203803223744,772100987528321122375477720677745593131184,100214,0,0x09d364bb4745c37fdd2acc1f39b842e5089193ff,257460,259260,0.43571448,7.685420610090705009,40738901950759905516233559855891,6298862571616674089511042723272084572772106,12928623,208038207610998,0.21785724,3.842710305045343269,17523.20783414385754835395673806479,0x76a2909c2a4247c14c86913c35de8376767475f5498cf934ebe7fe9863f9c747#50207,0.21785724,3.84286884311657591,17523.57988799530965868767760168561,0x76a2909c2a4247c14c86913c35de8376767475f5498cf934ebe7fe9863f9c747#50209,,,,,,
12928650,0,0.000158538071232641,0.4388826,7.632733124417723733,4724745711711145985203803223744,772100987528321122375477720677745593131184,100214#12928650,0,0x09d364bb4745c37fdd2acc1f39b842e5089193ff,0.43571448,7.685420610090705009,35046.80253989823608975558285993386,34972.66799087436859237976088410697,35046.43048604678397942186199631304,0,0.000158538071232641,0.43571448,7.68557914816193765,0.4388826,7.632733124417723733,4724745711711145985203803223744,772100987528321122375477720677745593131184,100214,0,0x09d364bb4745c37fdd2acc1f39b842e5089193ff,257460,259260,0.43571448,7.685420610090705009,40738901950759905516233559855891,6298862571616674089511042723272084572772106,12928650,0,0,0,0,0x76a2909c2a4247c14c86913c35de8376767475f5498cf934ebe7fe9863f9c747#50208,0.21785724,3.84271030504536174,17523.22265190292643106790525824825,0x57a8e63ee2f4621203cf0b4d1e9e34fbaa73e188a1fc46604446fde8cd1b6f6e#50212,,,,,,
