id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper;IL_formula_annualized;average_mint_price0;average_mint_price1;priceQuotient0;priceQuotient1
100030#12939546;0xd7c9f3010efdff665ee72580ffa7b4141e56b17e;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;951354,160971;919685,628068;946302,512814;100030;0;913948.251443;12.472520768181174492;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1,8088538657088896e+17;913948,251443;12,472521;946302,512814;1627819983;1,0;2597,1676;920106,720608;971611,128425;946341,478272;3184,941752;0,719613;-20256,967454;-25308,615611;-25269,650153;180859,0;-0,027506;-0,026745;31668,532903;0,034434;-25308,615611;-0,027519;-0,991175;1,0;-0,02558;-0,02558;-0,991175;-0,021406;5051,648157;0,000383;2104,893286;0,000475;2612,359853;-0,989127;1,0;2341,0692;0,901393;1,109394
10038#16839626;0xd2dd7245c974a121135ed2975bd594297f6c358c;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;17,067517;23,167616;10,979102;10038;0;0;0.006603190727795831;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;16338467085711,0;0,0;0,006603;10,979102;1678960163;1,0;1662,6965;23,159408;17,555211;10,979102;4,120908;0,001183;-0,487698;-6,576109;-6,576109;58516793,0;-0,28395;-0,598966;-6,100099;-0,263303;-6,576109;-0,283849;-0,389059;1,0;-0,367424;-0,367424;-0,389059;-0,044421;6,088412;0,000277;3442,645347;0,00029;3611,913806;-0,218836;1,0;3530,7621;2,123516;0,470917
101078#12937743;0xcd2fc97464e7cf0c9684df73b3c0d90aae783571;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;90746,367616;88333,142318;90673,742402;101078;0;48181.461201;16.44956970242753973;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1524285780213561,0;24437,314273;8,090628;45526,968711;1627795005;1,0;2613,5538;44166,571538;45666,161761;45582,606802;23,920411;0,003682;-105,676037;-139,19305;-83,554959;52150,0;-0,003152;-0,003057;2413,225297;0,02732;-151,57061;-0,001716;-0,843226;0,502097;-0,001833;-0,001329;-0,453156;-0,002321;33,517013;0,000204;1226,656001;0,000815;4904,840002;-0,670445;1,0;2447,754;0,936562;1,067735
101078#12943638;0xcd2fc97464e7cf0c9684df73b3c0d90aae783571;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;90746,367616;88333,142318;90673,742402;101078;0;48181.461201;16.44956970242753973;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;335342871646983,0;5234,147035;1,834894;9938,077878;1627875403;1,0;2563,5994;9716,645738;9947,155898;9938,079028;18,386634;0,007835;29,394358;-9,07802;-9,07687;132548,0;-0,000934;-0,000913;2413,225297;0,02732;-151,57061;-0,001716;-0,195536;0,109603;-0,000913;-0,001329;-0,453156;0,002958;38,472378;0,000204;1226,656001;0,000815;4904,840002;-0,195354;1,0;2447,754;0,954811;1,047327
101078#12943892;0xcd2fc97464e7cf0c9684df73b3c0d90aae783571;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;90746,367616;88333,142318;90673,742402;101078;0;48181.461201;16.44956970242753973;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1188942908566579,0;18509,999893;6,524048;35208,695813;1627878996;1,0;2555,7758;34449,9258;35211,995352;35184,003336;0,24644;0,000152;-2,663716;-3,29954;-27,992017;136141,0;-9,6e-05;-9,4e-05;2413,225297;0,02732;-151,57061;-0,001716;-0,02149;0,388301;-0,000796;-0,001329;-0,453156;-7,6e-05;0,635823;0,000204;1226,656001;0,000815;4904,840002;-0,168531;1,0;2447,754;0,957734;1,044131
101736#19536475;0xd239ab0613eea4b09c87b94089f709bd5f61e8d9;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;2574,911263;1756,85623;1785,881417;101736;0;1785.881417;0;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1161227933841289,0;1785,881417;0,0;1785,881417;1711676747;1,0;3572,5898;1758,588056;2247,795255;1785,881417;417,202095;0,157579;327,116008;-461,913838;-461,913838;83870980,0;-0,262662;-0,258648;818,055033;0,465636;-461,913838;-0,262921;-0,106499;1,0;-0,200183;-0,200183;-0,106499;0,183168;789,029846;0,000369;2550,412654;0,000392;2708,11324;-0,080612;1,0;2594,1754;0,726133;1,377158
10184#16070483;0x63be47625c7acd531d0e0bd35abfbd4573013295;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;48,827568;89,632234;29,756729;10184;0;0;0.025442151737188203;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;251814692584746,0;0,0;0,025442;29,756729;1669662575;1,0;1169,9097;90,003544;66,02371;29,76502;14,279124;0,004097;-17,196143;-36,266981;-36,25869;49215611,0;-0,402951;-1,218783;-40,804666;-0,455245;-36,266981;-0,40462;;1,0;-0,749094;-0,749094;0,0;-0,577891;19,070838;0,000282;3505,170878;0,000285;3547,484185;-0,58794;1,0;3567,8931;3,049717;0,327899
101940#12967442;0x41ebc438c635ea64bc14ccefa8b6434ac2ed6229;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;96269,924259;95556,47679;94579,525068;101940;0;46901.226719;19.9999999999999996;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1,5977128524916794e+16;46901,226719;0,0;46901,226719;1628199667;1,0;2819,5265;45530,29282;48328,055717;46901,226719;816,302373;0,274416;166,576173;-1426,828998;-1426,828998;376576,639002;-0,031338;-0,030422;713,447469;0,007466;-1772,956649;-0,018554;-0,924904;0,495892;-0,032789;-0,017812;-0,948493;0,003552;1593,405171;0,000356;2504,918179;0,000399;2807,376371;-0,938813;0,097064;250,94982;0,916967;1,090552
101940#14742068;0x41ebc438c635ea64bc14ccefa8b6434ac2ed6229;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;96269,924259;95556,47679;94579,525068;101940;0;46901.226719;19.9999999999999996;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1,8067231730576988e+16;0,0;20,0;47678,298349;1652094304;1,0;2401,2213;50465,166;48024,426;48024,426;49,93758;0,019739;-249,133631;-346,127651;0,0;64501,0;-0,006859;-0,00726;713,447469;0,007466;-1772,956649;-0,018554;-0,971697;0,504108;-0,003079;-0,017812;-0,948493;-0,005225;96,99402;0,000356;2504,918179;0,000399;2807,376371;-0,778804;1,0;2523,2583;1,050823;0,951635
101959#12972943;0x41ebc438c635ea64bc14ccefa8b6434ac2ed6229;0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8;161213,609121;158533,833964;159629,195846;101959;0;109511.15387;19.999999999999999679;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1,959566875960424e+16;55401,808622;0,0;55401,808622;1628273494;1,0;2918,8317;51835,144114;58958,264666;55401,808622;817,139179;0,240703;-2035,582779;-3556,456044;-3556,456044;414742,378245;-0,068611;-0,064194;2679,775157;0,016903;-3900,471454;-0,024603;-0,99358;0,347066;-0,073971;-0,027854;-0,632985;-0,036742;1520,873266;0,000346;2596,733401;0,000385;2892,869371;-0,997113;0,995916;2553,581015;0,878451;1,138367
