id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper;IL_formula_annualized;average_mint_price0;average_mint_price1;priceQuotient0;priceQuotient1
100625#16888931;0x823f2d91f709a7d74ecdffa4850a96527229d77f;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;1645,00624;2199,017682;1505,690493;100625;0;0.02972355;0.388895123290883365;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3694334122145,0;0,029724;0,388895;1505,690493;1679558555;27716,4218;1757,0213;2199,017701;1510,855253;1507,127464;0,002617;0,038085;134,150433;-5,164759;-3,727788;51854572,0;-0,002349;-0,00343;-554,011442;-0,251936;-5,164759;-0,002349;-0,002089;1,0;-0,002467;-0,002467;-0,002089;0,089096;139,315192;8,524042;0,029339;34,083771;0,117315;-0,001502;41931,6703;2463,5167;0,926773;1,079013
100654#12943035;0x51e750b78b744bf18271051d6428e6d281671976;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;1752219,837306;1770425,137259;1751614,764789;100654;0;24.40246049;309.655913941580554547;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2991452700979252,0;24,40246;309,655914;1751614,764789;1627867244;39747,633;2544,4261;1770425,144116;1763373,908801;1757836,633306;0,012316;0,046185;-11154,071495;-11759,144012;-5537,275495;159880,0;-0,006642;-0,006713;-18205,299953;-0,010283;-11759,144012;-0,006642;-0,735407;1,0;-0,003141;-0,003141;-0,735407;-0,006368;605,072517;8,524042;0,029339;34,083771;0,117315;-0,462543;41691,2617;2449,3925;0,917772;1,089595
100832#16059147;0x48048b6abcaa82adaa4ebcee038d23674df23aea;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;127,683864;269,315617;117,509271;100832;0;0.00454177;0.034917598184166498;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;454287607579,0;0,004542;0,034918;117,509271;1669525895;16494,5491;1218,3429;269,315615;120,025688;117,456056;0,000298;0,00431;7,658177;-2,516417;-2,569632;41800782,0;-0,009344;-0,021415;-141,631753;-0,525895;-2,516417;-0,009344;-0,01621;1,0;-0,021409;-0,021409;-0,01621;0,065171;10,174593;8,473054;0,029516;33,879891;0,118021;-0,016206;41670,6652;2458,9116;0,798883;1,251747
100935#14779787;0x5a3ffcf5a71272615b07d8da1e28694fdc780930;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;4964,368951;6167,148688;4793,357569;100935;0;0.09196413;0.972055471250803496;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;8549781131507,0;0,091964;0,972055;4793,357569;1652615205;30182,3774;2075,665;6167,148743;4830,52028;4793,357599;0,002907;0,040116;133,848671;-37,162711;-37,162681;24883050,0;-0,006026;-0,007753;-1202,779737;-0,19503;-37,162711;-0,006026;-0,009822;1,0;-0,007693;-0,007693;-0,009822;0,027924;171,011382;7,162788;0,023925;41,79644;0,13961;-0,009747;41539,8832;2463,299;0,862279;1,159717
102003#16018082;0xd9eea293c6f32043753e75b91861c358d9813ae7;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;999,852827;2246,070204;915,899728;102003;0;0.03267613;0.348934566578567726;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3700333902650,0;0,032676;0,348935;915,899728;1669030007;15993,6385;1122,6007;2244,718;919,960915;914,324399;0,002399;0,034902;79,891912;-4,061187;-5,636515;41202690,0;-0,001809;-0,004434;-1246,217378;-0,554843;-4,061187;-0,001808;-0,003398;1,0;-0,006042;-0,006042;-0,003398;0,087228;83,953099;8,027665;0,031154;32,098983;0,124569;-0,004631;41494,4868;2585,6108;0,887758;1,126433
102066#16485674;0x60d28ba9de83ea770227fa7afd6328c92ea889f9;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;10636,518957;17437,986272;9956,162682;102066;0;0.24628801;2.836836605545732459;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;28823671526298,0;0,246288;2,836837;9956,162682;1674671903;22599,3034;1550,7191;17362,285756;10002,749711;9965,07417;0,019513;0,283513;633,769245;-46,587029;-37,675542;46837618,0;-0,002683;-0,004679;-6801,467315;-0,390037;-46,587029;-0,002672;-0,003155;1,0;-0,00392;-0,00392;-0,003155;0,063656;680,356275;8,027665;0,031154;32,098983;0,124569;-0,002643;41192,0511;2568,1042;0,908576;1,100624
102328#19443052;0x3b9d92d025c1fca5ebd92328c4a2ef998a743d3b;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;6660,326404;3988,887174;6161,525454;102328;0;0.035526;1.029125136091507055;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;6754703993604,0;0,035526;1,029125;6161,525454;1710538463;68037,57;3658,3379;3952,456197;6265,719696;6181,990201;0,005873;0,089883;394,606708;-104,194242;-83,729495;82673804,0;-0,026362;-0,01691;2671,439229;0,66972;-104,194242;-0,026121;-0,006489;1,0;-0,012774;-0,012774;-0,006489;0,064044;498,80095;7,790423;0,032102;31,150362;0,128363;-0,004895;39512,4129;2526,3771;1,189131;0,84095
102365#16552729;0x296fdd14fa55a00f4d4e809c044920f4bf939b63;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;364,067719;469,116634;291,378853;102365;0;0.00787399;0.064923202412833608;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2730767291679,0;0,007874;0,064923;291,378853;1675481171;23346,6384;1656,5439;470,89102;295,981847;291,379332;0,001555;0,021958;68,085872;-4,602995;-4,602515;47613881,0;-0,009775;-0,015797;-105,048915;-0,223929;-4,602995;-0,009812;-0,010498;1,0;-0,015204;-0,015204;-0,010498;0,233668;72,688867;12,365027;0,056424;17,722837;0,080873;-0,010103;39747,633;2544,4261;0,902194;1,108409
102380#12959878;0x51e750b78b744bf18271051d6428e6d281671976;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;1827667,167484;1758824,811074;1826551,381855;102380;0;24.42378093;312.076801269672278546;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2992421662448022,0;24,423781;312,076801;1826551,381855;1628096416;39302,2114;2677,3904;1762443,137398;1798460,510194;1795460,03308;0,017702;0,168553;29206,65729;28090,871661;-3000,477114;228220,145554;0,015939;0,015379;68842,35641;0,039141;28090,871661;0,015971;7,251549;1,0;-0,000309;-0,000309;7,251549;0,01599;1115,785629;7,837304;0,03191;31,337816;0,127595;-0,041776;19,759622;1,310397;0,973485;1,027237
102555#14998382;0xbd70a39ebe1123e891e4dcdb8e5e3eb905a9f9c7;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;4524,264383;8756,056295;3951,314995;102555;0;0.01099138;3.371131528934377277;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;45512632939274,0;0,010991;3,371132;3951,314995;1655755012;20136,9166;1106,4028;8759,420235;4088,089121;3951,161865;0,015679;0,232284;436,174859;-136,774126;-136,927256;27871808,0;-0,015615;-0,034615;-4231,791912;-0,483299;-136,774126;-0,015621;-0,039102;1,0;-0,033164;-0,033164;-0,039102;0,110387;572,948985;12,439436;0,05378;18,594236;0,080389;-0,037467;39681,0445;2555,5012;1,172122;0,853154
102957#14969419;0x11cfced48155b0bd111eb2c1eac4d96ca0922ea8;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;6290,954604;11656,498268;5617,121347;102957;0;0.06432914;3.653765648153352305;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;48361743084596,0;0,064329;3,653766;5617,121347;1655324592;21755,1831;1181,1068;11657,266704;5965,65874;5714,979672;0,017227;0,262169;325,295865;-348,537392;-250,679068;27398345,0;-0,029899;-0,062049;-5365,543663;-0,460305;-348,537392;-0,029901;-0,071126;1,0;-0,042114;-0,042114;-0,071126;0,057911;673,833257;12,589601;0,047986;20,839411;0,079431;-0,04835;39690,5675;2638,2124;1,224323;0,816778
103318#13050528;0x3b138fc7ec06b2a44565994cfde5134a75915995;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;1466,713559;1210,445179;1447,002374;103318;0;0.02635926;0.098340746664798937;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;8941161635697,0;0,023473;0,097819;1378,537969;1629307459;45821,6628;3110,423;1143,149722;1387,378493;1379,820867;0,000226;0,002991;10,792303;-8,840524;-7,557626;1332015,0;-0,007733;-0,006413;256,26838;0,211714;-8,840417;-0,007303;-0,141375;0,952685;-0,00511;-0,004869;-0,134672;0,007829;19,632827;13,858051;0,055086;18,153309;0,07216;-0,114306;38607,5883;2489,0884;0,949771;1,052885
103318#15253304;0x3b138fc7ec06b2a44565994cfde5134a75915995;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;1466,713559;1210,445179;1447,002374;103318;0;0.02635926;0.098340746664798937;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;862001707560,9999;0,002886;0,000521;68,464405;1659311976;23414,6991;1683,5931;69,675998;68,464298;68,464123;2e-06;2,3e-05;0,078465;0,000107;-0,000175;162358,0;2e-06;2e-06;256,26838;0,211714;-8,840417;-0,007303;0,000303;0,047315;-3e-06;-0,004869;-0,134672;0,001146;0,078358;13,858051;0,055086;18,153309;0,07216;-0,000492;23829,5994;1711,4874;0,998869;1,001133
103557#15046325;0x3f53ec8d27dd0d22b4e438a8ac1c460ec912fe6a;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5466,983621;13213,03801;5185,546066;103557;0;0.10201642;2.843723890721573303;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;18922336333802,0;0,102016;2,843724;5185,546066;1656527420;20010,4812;1102,2993;13218,506737;5306,211208;5176,032509;0,007619;0,116532;160,772413;-120,665142;-130,178699;26753284,826248;-0,009129;-0,02327;-7746,054389;-0,586243;-120,665142;-0,009132;-0,027391;1,0;-0,028637;-0,028637;-0,027391;0,031004;281,437555;7,605688;0,032685;30,594699;0,131481;-0,033693;34674,734326;2481,945454;1,299383;0,769596
